#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
   127400  1.45143932e+01  1.00002704e-04   1.53736193e-03   2.94431553e-01   2.93953548e-01   2.28188067e-01   3.93952838e-01   5.28363897e-02   3.86252248e+00   3.81447314e+00   3.73126678e+00   1.12029046e+01   2.06778441e-17   1.24989630e-01   1.78696429e+02  -1.06717404e+01   7.14285756e+01
   127500  1.45243671e+01  9.94950331e-05   1.53845847e-03   2.94580538e-01   2.93975146e-01   2.28427294e-01   3.92583457e-01   5.57109730e-02   3.87884541e+00   3.88322949e+00   3.79721000e+00   1.12359088e+01   6.58694323e-18   1.24989274e-01   1.78696429e+02  -1.06717404e+01   7.14285757e+01
   127600  1.45342948e+01  9.90773744e-05   1.54467525e-03   2.94727052e-01   2.93992410e-01   2.28663980e-01   3.91012430e-01   5.80685725e-02   3.88231760e+00   3.94026932e+00   3.89419754e+00   1.12304442e+01   4.95004194e-18   1.24988593e-01   1.78696429e+02  -1.06717404e+01   7.14285760e+01
   127700  1.45441853e+01  9.87503224e-05   1.55614269e-03   2.94879887e-01   2.94012402e-01   2.28883566e-01   3.89229602e-01   5.98504209e-02   3.87394872e+00   3.98593647e+00   3.97995292e+00   1.11873541e+01   2.47432163e-17   1.24987681e-01   1.78696429e+02  -1.06717404e+01   7.14285764e+01
   127800  1.45540476e+01  9.85143258e-05   1.57332971e-03   2.95047236e-01   2.94042065e-01   2.29071814e-01   3.87608941e-01   6.10055638e-02   3.85488697e+00   4.02037108e+00   4.05284640e+00   1.11106333e+01  -1.76641099e-17   1.24986377e-01   1.78696429e+02  -1.06717404e+01   7.14285769e+01
   127900  1.45638910e+01  9.83702023e-05   1.59651877e-03   2.95235112e-01   2.94086924e-01   2.29217753e-01   3.86768580e-01   6.14739054e-02   3.82628980e+00   4.04332048e+00   4.11115262e+00   1.10078691e+01  -1.70875885e-17   1.24984317e-01   1.78696429e+02  -1.06717404e+01   7.14285777e+01
   128000  1.45737247e+01  9.83196267e-05   1.62465911e-03   2.95446435e-01   2.94150286e-01   2.29316323e-01   3.87189326e-01   6.11792106e-02   3.78923737e+00   4.05405027e+00   4.15316418e+00   1.08890926e+01   8.56696001e-19   1.24981229e-01   1.78696429e+02  -1.06717404e+01   7.14285789e+01
   128100  1.45835541e+01  9.81986026e-05   1.65443058e-03   2.95680753e-01   2.94232925e-01   2.29369969e-01   3.88807407e-01   6.00421300e-02   3.77580671e+00   4.05140879e+00   4.25110100e+00   1.07641006e+01  -1.27013924e-17   1.24977280e-01   1.78696429e+02  -1.06717404e+01   7.14285805e+01
   128200  1.45933643e+01  9.80344160e-05   1.68052692e-03   2.95934018e-01   2.94332810e-01   2.29388791e-01   3.90905316e-01   5.95536041e-02   3.82763912e+00   4.03408573e+00   4.31747718e+00   1.06393403e+01   2.96215755e-18   1.24973193e-01   1.78696429e+02  -1.06717404e+01   7.14285822e+01
   128300  1.46031668e+01  9.80456009e-05   1.69764590e-03   2.96200209e-01   2.94445523e-01   2.29389014e-01   3.92484940e-01   5.93974451e-02   3.93280645e+00   4.00081423e+00   4.34502135e+00   1.05499627e+01  -2.09470914e-17   1.24969939e-01   1.78696429e+02  -1.06717404e+01   7.14285835e+01
   128400  1.46129796e+01  9.82414909e-05   1.70275004e-03   2.96471539e-01   2.94564329e-01   2.29389772e-01   3.92867486e-01   5.89048116e-02   4.02961692e+00   3.95045050e+00   4.33105043e+00   1.05567807e+01  -2.74400603e-17   1.24968217e-01   1.78696429e+02  -1.06717404e+01   7.14285841e+01
   128500  1.46228218e+01  9.86302971e-05   1.69648632e-03   2.96739265e-01   2.94680822e-01   2.29409804e-01   3.92103882e-01   5.88623180e-02   4.11738840e+00   3.91347584e+00   4.27392016e+00   1.05694909e+01  -3.49016202e-18   1.24968052e-01   1.78696429e+02  -1.06717404e+01   7.14285842e+01
   128600  1.46327128e+01  9.92185861e-05   1.68282603e-03   2.96995168e-01   2.94786473e-01   2.29464461e-01   3.90905795e-01   6.31098168e-02   4.19541915e+00   3.91041992e+00   4.18155028e+00   1.05833019e+01   1.85623295e-17   1.24968831e-01   1.78696429e+02  -1.06717404e+01   7.14285839e+01
   128700  1.46426315e+01  9.87341256e-05   1.66705721e-03   2.97232410e-01   2.94874465e-01   2.29563011e-01   3.90127782e-01   6.66574069e-02   4.26283103e+00   3.95030314e+00   4.17134189e+00   1.05745127e+01   3.42521048e-17   1.24969738e-01   1.78696429e+02  -1.06717404e+01   7.14285835e+01
   128800  1.46524494e+01  9.76497604e-05   1.65323652e-03   2.97446011e-01   2.94941665e-01   2.29705489e-01   3.90146622e-01   6.94627712e-02   4.31853466e+00   3.97248439e+00   4.14164192e+00   1.05100807e+01  -3.20439271e-17   1.24970295e-01   1.78696429e+02  -1.06717404e+01   7.14285833e+01
   128900  1.46621638e+01  9.66656715e-05   1.64245942e-03   2.97638400e-01   2.94991098e-01   2.29885781e-01   3.90669834e-01   7.15479535e-02   4.36276309e+00   3.97872367e+00   4.09354685e+00   1.03605339e+01   1.64957689e-18   1.24970580e-01   1.78696429e+02  -1.06717404e+01   7.14285832e+01
   129000  1.46717855e+01  9.57990953e-05   1.63399889e-03   2.97814866e-01   2.95029179e-01   2.30093531e-01   3.91138755e-01   7.29388706e-02   4.39599153e+00   3.97096933e+00   4.02794556e+00   1.01077352e+01  -2.75025642e-17   1.24970935e-01   1.78696429e+02  -1.06717404e+01   7.14285831e+01
   129100  1.46813272e+01  9.50644938e-05   1.62712229e-03   2.97981578e-01   2.95063613e-01   2.30316327e-01   3.91229793e-01   7.36719395e-02   4.41881432e+00   3.95108875e+00   4.17045419e+00   9.74700716e+00   1.55158136e-17   1.24971556e-01   1.78696429e+02  -1.06717404e+01   7.14285828e+01
   129200  1.46908026e+01  9.44731189e-05   1.62212525e-03   2.98144356e-01   2.95101697e-01   2.30541850e-01   3.91081396e-01   7.38086128e-02   4.43196180e+00   3.92071097e+00   4.29878810e+00   9.28489726e+00  -2.12600477e-17   1.24972302e-01   1.78696429e+02  -1.06717404e+01   7.14285825e+01
   129300  1.47002263e+01  9.40328139e-05   1.62006450e-03   2.98308093e-01   2.95149309e-01   2.30759663e-01   3.91153128e-01   7.34406173e-02   4.43632884e+00   3.94957220e+00   4.39375789e+00   9.12240716e+00   4.33942750e-18   1.24972811e-01   1.78696429e+02  -1.06717404e+01   7.14285823e+01
   129400  1.47096139e+01  9.37481777e-05   1.62169961e-03   2.98476564e-01   2.95210539e-01   2.30962448e-01   3.91877699e-01   7.26808684e-02   4.43295462e+00   4.05909097e+00   4.45563316e+00   9.24510990e+00  -2.95420251e-17   1.24972787e-01   1.78696429e+02  -1.06717404e+01   7.14285823e+01
   129500  1.47189810e+01  9.36210430e-05   1.62655225e-03   2.98652301e-01   2.95287671e-01   2.31146534e-01   3.93352075e-01   7.16441513e-02   4.42291875e+00   4.15272541e+00   4.48561624e+00   9.38959344e+00   5.25906443e-18   1.24972237e-01   1.78696429e+02  -1.06717404e+01   7.14285825e+01
   129600  1.47283433e+01  9.36510767e-05   1.63274001e-03   2.98836405e-01   2.95381316e-01   2.31311662e-01   3.95246274e-01   7.04267955e-02   4.40716861e+00   4.23102272e+00   4.48552116e+00   9.49622892e+00   2.49385954e-17   1.24971505e-01   1.78696429e+02  -1.06717404e+01   7.14285828e+01
   129700  1.47377165e+01  9.38362942e-05   1.63769874e-03   2.99028391e-01   2.95490625e-01   2.31460036e-01   3.96966356e-01   6.90938257e-02   4.38633545e+00   4.29431172e+00   4.45746741e+00   9.56254229e+00   8.08616123e-18   1.24971098e-01   1.78696429e+02  -1.06717404e+01   7.14285830e+01
   129800  1.47471159e+01  9.41733791e-05   1.63944050e-03   2.99226276e-01   2.95613637e-01   2.31594920e-01   3.97978265e-01   6.91450395e-02   4.36061012e+00   4.34270172e+00   4.40371382e+00   9.58742984e+00  -1.03677700e-17   1.24971395e-01   1.78696429e+02  -1.06717404e+01   7.14285829e+01
   129900  1.47565565e+01  9.46578520e-05   1.63774869e-03   2.99427045e-01   2.95747815e-01   2.31719131e-01   3.98128339e-01   6.99615928e-02   4.32972923e+00   4.37616468e+00   4.32666645e+00   9.57394655e+00   2.46903284e-17   1.24972397e-01   1.78696429e+02  -1.06717404e+01   7.14285825e+01
   130000  1.47660528e+01  9.52842501e-05   1.63464681e-03   2.99627459e-01   2.95890751e-01   2.31833862e-01   3.97782028e-01   7.00552280e-02   4.29308089e+00   4.39466724e+00   4.22898435e+00   9.52737385e+00   4.08941213e-17   1.24973674e-01   1.78696429e+02  -1.06717404e+01   7.14285820e+01
   130100  1.47756186e+01  9.60464947e-05   1.63362822e-03   2.99825041e-01   2.96040953e-01   2.31938144e-01   3.97649608e-01   6.94144213e-02   4.34663951e+00   4.39832078e+00   4.11364707e+00   9.44953406e+00  -4.44432905e-18   1.24974550e-01   1.78696429e+02  -1.06717404e+01   7.14285816e+01
   130200  1.47852672e+01  9.69385064e-05   1.63770890e-03   3.00018967e-01   2.96198487e-01   2.32029087e-01   3.98318541e-01   6.88350203e-02   4.39399307e+00   4.38751944e+00   3.98387602e+00   9.71147177e+00   2.98409946e-17   1.24974476e-01   1.78696429e+02  -1.06717404e+01   7.14285816e+01
   130300  1.47950114e+01  9.79549295e-05   1.64734270e-03   3.00210539e-01   2.96365224e-01   2.32102788e-01   3.99755352e-01   6.84988949e-02   4.42990606e+00   4.36303400e+00   3.84289809e+00   9.96320480e+00   1.32630528e-17   1.24973372e-01   1.78696429e+02  -1.06717404e+01   7.14285821e+01
   130400  1.48048633e+01  9.90916518e-05   1.65983134e-03   3.00403012e-01   2.96544468e-01   2.32155591e-01   4.01182498e-01   6.73970332e-02   4.45351092e+00   4.32602707e+00   3.69643303e+00   1.01090630e+01   1.12104791e-17   1.24971683e-01   1.78696429e+02  -1.06717404e+01   7.14285828e+01
   130500  1.48148341e+01  1.00252479e-04   1.67103569e-03   3.00600716e-01   2.96739965e-01   2.32185306e-01   4.01531629e-01   6.55397190e-02   4.46448691e+00   4.27796820e+00   3.57965203e+00   1.01377926e+01   2.73478344e-17   1.24970060e-01   1.78696429e+02  -1.06717404e+01   7.14285834e+01
   130600  1.48248815e+01  1.00383335e-04   1.67825227e-03   3.00806731e-01   2.96953545e-01   2.32192112e-01   4.00215089e-01   6.29780040e-02   4.46300549e+00   4.22076395e+00   3.44016299e+00   1.00455643e+01   1.13643347e-18   1.24968859e-01   1.78696429e+02  -1.06717404e+01   7.14285839e+01
   130700  1.48348933e+01  9.98733962e-05   1.68199235e-03   3.01021204e-01   2.97183388e-01   2.32179380e-01   3.97627640e-01   5.98172852e-02   4.44988580e+00   4.15679161e+00   3.43758058e+00   9.83874057e+00   8.07741943e-18   1.24967877e-01   1.78696429e+02  -1.06717404e+01   7.14285843e+01
   130800  1.48448590e+01  9.94605745e-05   1.68477373e-03   3.01244519e-01   2.97427814e-01   2.32152925e-01   3.94774371e-01   5.61547706e-02   4.42622133e+00   4.08755086e+00   3.49296486e+00   9.52869075e+00  -7.28716108e-18   1.24966618e-01   1.78696429e+02  -1.06717404e+01   7.14285848e+01
   130900  1.48547881e+01  9.91393851e-05   1.68801847e-03   3.01476126e-01   2.97684497e-01   2.32119458e-01   3.92433112e-01   5.84865271e-02   4.39295634e+00   4.16296922e+00   3.55770525e+00   9.12777848e+00   2.35608884e-17   1.24964866e-01   1.78696429e+02  -1.06717404e+01   7.14285855e+01
   131000  1.48646878e+01  9.88263220e-05   1.69036963e-03   3.01714472e-01   2.97950470e-01   2.32085562e-01   3.90629500e-01   6.08283082e-02   4.35078149e+00   4.29829561e+00   3.61649504e+00   8.64901199e+00   3.10158919e-18   1.24962980e-01   1.78696429e+02  -1.06717404e+01   7.14285862e+01
   131100  1.48745527e+01  9.84903735e-05   1.68882174e-03   3.01956792e-01   2.98221876e-01   2.32056901e-01   3.88852390e-01   6.24882906e-02   4.30012030e+00   4.41461444e+00   3.66895044e+00   8.10742692e+00   3.94866922e-18   1.24961665e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   131200  1.48843884e+01  9.82402832e-05   1.68152448e-03   3.02199581e-01   2.98494468e-01   2.32037665e-01   3.86757732e-01   6.34912043e-02   4.24099723e+00   4.50982089e+00   3.71474247e+00   7.93858062e+00  -3.30929427e-17   1.24961433e-01   1.78696429e+02  -1.06717404e+01   7.14285869e+01
   131300  1.48942034e+01  9.80747197e-05   1.66968042e-03   3.02438614e-01   2.98763562e-01   2.32030562e-01   3.84675600e-01   6.38650194e-02   4.17311738e+00   4.58200457e+00   3.75357020e+00   7.94394084e+00   6.06615074e-18   1.24962213e-01   1.78696429e+02  -1.06717404e+01   7.14285865e+01
   131400  1.49040061e+01  9.79929911e-05   1.65700640e-03   3.02669603e-01   2.99024580e-01   2.32037035e-01   3.83454070e-01   6.36410820e-02   4.09608825e+00   4.62968913e+00   3.78516933e+00   7.90039682e+00  -1.30209050e-17   1.24963424e-01   1.78696429e+02  -1.06717404e+01   7.14285861e+01
   131500  1.49138048e+01  9.79948731e-05   1.64728257e-03   3.02889305e-01   2.99274004e-01   2.32057407e-01   3.83785015e-01   6.28653239e-02   4.00973347e+00   4.65201743e+00   3.80931190e+00   8.06198842e+00  -2.16446867e-18   1.24964397e-01   1.78696429e+02  -1.06717404e+01   7.14285857e+01
   131600  1.49236079e+01  9.80802743e-05   1.64200358e-03   3.03096535e-01   2.99510181e-01   2.32090742e-01   3.85599789e-01   6.16108765e-02   3.98687200e+00   4.64876862e+00   3.82578947e+00   8.25942924e+00   9.46736499e-18   1.24964804e-01   1.78696429e+02  -1.06717404e+01   7.14285855e+01
   131700  1.49334237e+01  9.82489352e-05   1.63996578e-03   3.03292633e-01   2.99733674e-01   2.32134383e-01   3.88048934e-01   5.99831673e-02   3.97302666e+00   4.62024304e+00   3.83441191e+00   8.38452148e+00   2.07058178e-17   1.24964787e-01   1.78696429e+02  -1.06717404e+01   7.14285855e+01
   131800  1.49432606e+01  9.85004517e-05   1.63889538e-03   3.03481239e-01   2.99947110e-01   2.32183442e-01   3.90050340e-01   5.81131648e-02   3.95174154e+00   4.56712620e+00   3.83504502e+00   8.44677557e+00   1.48750399e-17   1.24964746e-01   1.78696429e+02  -1.06717404e+01   7.14285855e+01
   131900  1.49531269e+01  9.88347820e-05   1.63758619e-03   3.03667512e-01   3.00154699e-01   2.32230609e-01   3.90945463e-01   5.61399835e-02   4.00912245e+00   4.49043076e+00   3.82767509e+00   8.82774101e+00   2.56659128e-18   1.24964990e-01   1.78696429e+02  -1.06717404e+01   7.14285854e+01
   132000  1.49630147e+01  9.87631013e-05   1.63691169e-03   3.03856762e-01   3.00361296e-01   2.32266577e-01   3.90828377e-01   5.41911593e-02   4.08454363e+00   4.39170258e+00   3.81248518e+00   9.23399864e+00   3.19669993e-17   1.24965495e-01   1.78696429e+02  -1.06717404e+01   7.14285852e+01
   132100  1.49728776e+01  9.85127040e-05   1.63912988e-03   3.04052826e-01   3.00571220e-01   2.32281450e-01   3.90418439e-01   5.23645463e-02   4.12075011e+00   4.27349437e+00   3.86510709e+00   9.55259289e+00  -4.02542219e-17   1.24965917e-01   1.78696429e+02  -1.06717404e+01   7.14285851e+01
   132200  1.49827201e+01  9.83550336e-05   1.64611418e-03   3.04258875e-01   3.00789378e-01   2.32266954e-01   3.90588103e-01   5.09843902e-02   4.11738250e+00   4.22442774e+00   3.92713957e+00   9.79282622e+00   5.97938841e-19   1.24965836e-01   1.78696429e+02  -1.06717404e+01   7.14285851e+01
   132300  1.49925516e+01  9.82917750e-05   1.65779941e-03   3.04476153e-01   3.01019760e-01   2.32217828e-01   3.91864293e-01   5.16780512e-02   4.07516431e+00   4.19360951e+00   3.98149122e+00   9.96567219e+00  -2.19104373e-17   1.24965060e-01   1.78696429e+02  -1.06717404e+01   7.14285854e+01
   132400  1.50023816e+01  9.83232104e-05   1.67172572e-03   3.04703807e-01   3.01264893e-01   2.32132987e-01   3.94164818e-01   5.20465659e-02   3.99596445e+00   4.14500065e+00   4.02832308e+00   1.00831725e+01  -2.07600170e-17   1.24963812e-01   1.78696429e+02  -1.06717404e+01   7.14285859e+01
   132500  1.50122195e+01  9.84487335e-05   1.68396763e-03   3.04938953e-01   3.01525431e-01   2.32015979e-01   3.96891786e-01   5.29198727e-02   4.05043785e+00   4.08066570e+00   4.06741789e+00   1.01553180e+01   1.39868735e-19   1.24962647e-01   1.78696429e+02  -1.06717404e+01   7.14285864e+01
   132600  1.50220746e+01  9.86570610e-05   1.69100877e-03   3.05176800e-01   3.01799826e-01   2.31874571e-01   3.99326098e-01   5.42218181e-02   4.12206162e+00   4.00304359e+00   4.09810961e+00   1.01848771e+01   2.46483678e-17   1.24962123e-01   1.78696429e+02  -1.06717404e+01   7.14285866e+01
   132700  1.50319248e+01  9.83645349e-05   1.69157660e-03   3.05410305e-01   3.02083428e-01   2.31720014e-01   4.01071946e-01   5.50377651e-02   4.17320752e+00   3.91513893e+00   4.11927824e+00   1.01644084e+01   2.43686303e-17   1.24962399e-01   1.78696429e+02  -1.06717404e+01   7.14285865e+01
   132800  1.50417501e+01  9.81573286e-05   1.68734901e-03   3.05632056e-01   3.02370136e-01   2.31564605e-01   4.02260510e-01   5.53518463e-02   4.20274745e+00   3.87933907e+00   4.12968099e+00   1.00801687e+01   8.42359455e-18   1.24963079e-01   1.78696429e+02  -1.06717404e+01   7.14285862e+01
   132900  1.50515484e+01  9.77892853e-05   1.68176024e-03   3.05836279e-01   3.02654470e-01   2.31419122e-01   4.03315091e-01   5.51869049e-02   4.20985232e+00   3.95039434e+00   4.12812651e+00   9.92174125e+00  -2.99249158e-17   1.24963496e-01   1.78696429e+02  -1.06717404e+01   7.14285860e+01
   133000  1.50613116e+01  9.74986297e-05   1.67772985e-03   3.06019867e-01   3.02932599e-01   2.31291433e-01   4.04468731e-01   5.45785183e-02   4.19397484e+00   4.00806722e+00   4.11356437e+00   9.69239177e+00  -8.54073462e-18   1.24963223e-01   1.78696429e+02  -1.06717404e+01   7.14285861e+01
   133100  1.50710525e+01  9.73437013e-05   1.67596783e-03   3.06183630e-01   3.03204187e-01   2.31185255e-01   4.05465415e-01   5.35489450e-02   4.15506357e+00   4.05200766e+00   4.08511601e+00   9.41161497e+00   4.78071336e-17   1.24962405e-01   1.78696429e+02  -1.06717404e+01   7.14285865e+01
   133200  1.50807848e+01  9.73258862e-05   1.67519500e-03   3.06331283e-01   3.03471655e-01   2.31100581e-01   4.05716062e-01   5.20912978e-02   4.09377066e+00   4.08196725e+00   4.04206997e+00   9.10860640e+00   2.72639131e-17   1.24961611e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   133300  1.50905222e+01  9.74442811e-05   1.67392373e-03   3.06467996e-01   3.03739030e-01   2.31034501e-01   4.04798776e-01   5.08807714e-02   4.01159776e+00   4.09775976e+00   3.98390311e+00   8.80966976e+00  -1.58217764e-17   1.24961343e-01   1.78696429e+02  -1.06717404e+01   7.14285869e+01
   133400  1.51002783e+01  9.76959113e-05   1.67217880e-03   3.06598851e-01   3.04010478e-01   2.30982491e-01   4.02889628e-01   5.11664436e-02   3.91079057e+00   4.09926619e+00   3.91029432e+00   8.67401105e+00   1.64695435e-17   1.24961606e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   133500  1.51100660e+01  9.80765084e-05   1.67164777e-03   3.06727980e-01   3.04289195e-01   2.30939931e-01   4.00762569e-01   5.22161678e-02   3.79403189e+00   4.08645354e+00   3.82111526e+00   8.86018803e+00  -7.73648939e-18   1.24961890e-01   1.78696429e+02  -1.06717404e+01   7.14285867e+01
   133600  1.51198982e+01  9.85814251e-05   1.67414561e-03   3.06858510e-01   3.04576915e-01   2.30903543e-01   3.99329913e-01   5.39881586e-02   3.66410254e+00   4.05936723e+00   3.71639163e+00   8.96753002e+00  -1.66041672e-17   1.24961598e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   133700  1.51297869e+01  9.92061224e-05   1.67975726e-03   3.06992795e-01   3.04873831e-01   2.30872474e-01   3.99061568e-01   5.56154507e-02   3.61507460e+00   4.01806695e+00   3.59625916e+00   8.99643333e+00   4.10689573e-18   1.24960561e-01   1.78696429e+02  -1.06717404e+01   7.14285872e+01
   133800  1.51397439e+01  9.99458578e-05   1.68632043e-03   3.07132307e-01   3.05178566e-01   2.30848719e-01   3.99732189e-01   5.67998109e-02   3.64101289e+00   3.96250695e+00   3.46096619e+00   8.94867413e+00   4.10514737e-18   1.24959207e-01   1.78696429e+02  -1.06717404e+01   7.14285877e+01
   133900  1.51497525e+01  1.00001220e-04   1.69069295e-03   3.07276655e-01   3.05487284e-01   2.30836711e-01   4.00661063e-01   5.74988904e-02   3.64716276e+00   3.89261841e+00   3.41903848e+00   8.82917205e+00  -6.69665277e-18   1.24958256e-01   1.78696429e+02  -1.06717404e+01   7.14285881e+01
   134000  1.51597421e+01  9.98076443e-05   1.69079810e-03   3.07422705e-01   3.05793240e-01   2.30841715e-01   4.01202259e-01   5.76942163e-02   3.63206674e+00   3.80866950e+00   3.45182919e+00   8.65001314e+00  -7.00654943e-19   1.24958193e-01   1.78696429e+02  -1.06717404e+01   7.14285882e+01
   134100  1.51697172e+01  9.97130489e-05   1.68680809e-03   3.07566962e-01   3.06091827e-01   2.30867692e-01   4.01089631e-01   5.73960747e-02   3.59486084e+00   3.71034905e+00   3.60648848e+00   8.86179539e+00  -1.36458342e-17   1.24958952e-01   1.78696429e+02  -1.06717404e+01   7.14285878e+01
   134200  1.51796879e+01  9.97163859e-05   1.68071657e-03   3.07706001e-01   3.06379686e-01   2.30915785e-01   4.00411158e-01   5.66348937e-02   3.54116195e+00   3.70820751e+00   3.73675857e+00   9.18862887e+00  -3.08956922e-18   1.24960057e-01   1.78696429e+02  -1.06717404e+01   7.14285874e+01
   134300  1.51896638e+01  9.98159804e-05   1.67517424e-03   3.07838021e-01   3.06655615e-01   2.30983218e-01   3.99403549e-01   5.56976519e-02   3.53363071e+00   3.72486775e+00   3.84102247e+00   9.49626957e+00   1.68148445e-17   1.24960988e-01   1.78696429e+02  -1.06717404e+01   7.14285870e+01
   134400  1.51996544e+01  1.00010292e-04   1.67232153e-03   3.07963957e-01   3.06921043e-01   2.31063135e-01   3.98255854e-01   5.81605415e-02   3.52306226e+00   3.71229381e+00   3.91802076e+00   9.77396166e+00   3.04162047e-17   1.24961469e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   134500  1.52096692e+01  1.00298097e-04   1.67306841e-03   3.08087667e-01   3.07179806e-01   2.31145405e-01   3.97009975e-01   5.99211037e-02   3.50447367e+00   3.67059629e+00   3.96717241e+00   1.00095550e+01   1.07943696e-17   1.24961555e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   134600  1.52197174e+01  1.00677908e-04   1.67701694e-03   3.08215293e-01   3.07437367e-01   2.31218203e-01   3.95581422e-01   6.08631906e-02   3.47849022e+00   3.63041374e+00   3.98875389e+00   1.01941880e+01   9.05650058e-18   1.24961494e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   134700  1.52297841e+01  1.00535521e-04   1.68307302e-03   3.08353803e-01   3.07699049e-01   2.31269918e-01   3.93917352e-01   6.09158859e-02   3.49834131e+00   3.61955281e+00   3.98384008e+00   1.03248882e+01  -1.75377910e-17   1.24961506e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   134800  1.52398273e+01  1.00355069e-04   1.69047751e-03   3.08509468e-01   3.07968586e-01   2.31291593e-01   3.92229918e-01   6.00609246e-02   3.53187554e+00   3.71591013e+00   3.95426431e+00   1.04051079e+01  -1.01142579e-17   1.24961584e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   134900  1.52498599e+01  1.00321578e-04   1.69948987e-03   3.08687806e-01   3.08249128e-01   2.31278910e-01   3.91084228e-01   5.83308439e-02   3.54675712e+00   3.80431349e+00   3.90197698e+00   1.04424163e+01   4.11738588e-18   1.24961471e-01   1.78696429e+02  -1.06717404e+01   7.14285868e+01
   135000  1.52598963e+01  1.00428468e-04   1.71073623e-03   3.08892173e-01   3.08541384e-01   2.31232438e-01   3.91174737e-01   5.58144748e-02   3.54395055e+00   3.88357561e+00   3.82865532e+00   1.04425919e+01  -5.75385008e-18   1.24960864e-01   1.78696429e+02  -1.06717404e+01   7.14285871e+01
   135100  1.52699502e+01  1.00668634e-04   1.72359443e-03   3.09123306e-01   3.08843586e-01   2.31157523e-01   3.92810787e-01   5.26685227e-02   3.52468215e+00   3.95228495e+00   3.73578572e+00   1.04045898e+01   3.19460190e-17   1.24959737e-01   1.78696429e+02  -1.06717404e+01   7.14285875e+01
   135200  1.52800290e+01  1.00773080e-04   1.73507076e-03   3.09379010e-01   3.09151655e-01   2.31063471e-01   3.95523221e-01   4.91106576e-02   3.49040182e+00   4.00864404e+00   3.62496887e+00   1.03175360e+01   8.65088125e-18   1.24958534e-01   1.78696429e+02  -1.06717404e+01   7.14285880e+01
   135300  1.52900978e+01  1.00623466e-04   1.74067439e-03   3.09653193e-01   3.09458481e-01   2.30962425e-01   3.98237462e-01   4.73080805e-02   3.44287827e+00   4.05046545e+00   3.55822235e+00   1.01629874e+01   7.82390735e-18   1.24957997e-01   1.78696429e+02  -1.06717404e+01   7.14285882e+01
   135400  1.53001572e+01  1.00583171e-04   1.73724650e-03   3.09938399e-01   3.09756791e-01   2.30866593e-01   4.00036449e-01   4.67257514e-02   3.38378264e+00   4.07598049e+00   3.59555761e+00   9.92145360e+00  -2.38633545e-17   1.24958656e-01   1.78696429e+02  -1.06717404e+01   7.14285880e+01
   135500  1.53102178e+01  1.00644779e-04   1.72527474e-03   3.10226411e-01   3.10039046e-01   2.30786668e-01   4.00821829e-01   4.59972150e-02   3.45811458e+00   4.08397545e+00   3.62078240e+00   9.58140633e+00   1.49781931e-17   1.24960405e-01   1.78696429e+02  -1.06717404e+01   7.14285873e+01
   135600  1.53202893e+01  1.00765722e-04   1.70887165e-03   3.10509505e-01   3.10298216e-01   2.30730905e-01   4.01313840e-01   4.51564101e-02   3.56415381e+00   4.07397131e+00   3.63170810e+00   9.14556456e+00   1.14727330e-17   1.24962539e-01   1.78696429e+02  -1.06717404e+01   7.14285864e+01
   135700  1.53303422e+01  1.00309122e-04   1.69320731e-03   3.10781110e-01   3.10528422e-01   2.30704774e-01   4.02358443e-01   4.42176051e-02   3.65350651e+00   4.04636526e+00   3.62706002e+00   8.63194563e+00   1.83787518e-17   1.24964240e-01   1.78696429e+02  -1.06717404e+01   7.14285857e+01
   135800  1.53403534e+01  9.99322506e-05   1.68110949e-03   3.11038392e-01   3.10727597e-01   2.30710486e-01   4.04127118e-01   4.31833623e-02   3.72616684e+00   4.00232627e+00   3.60633503e+00   8.45103426e+00   3.52119540e-18   1.24965174e-01   1.78696429e+02  -1.06717404e+01   7.14285854e+01
   135900  1.53503309e+01  9.96340625e-05   1.67196296e-03   3.11282846e-01   3.10898005e-01   2.30747393e-01   4.05973533e-01   4.20579486e-02   3.78286935e+00   3.94334191e+00   3.56951181e+00   8.43273863e+00   8.62290750e-18   1.24965644e-01   1.78696429e+02  -1.06717404e+01   7.14285852e+01
   136000  1.53602826e+01  9.94139525e-05   1.66370301e-03   3.11518381e-01   3.11044612e-01   2.30812270e-01   4.07030963e-01   4.08582394e-02   3.82453015e+00   3.87112949e+00   3.56040263e+00   8.37442578e+00  -3.90076418e-17   1.24966216e-01   1.78696429e+02  -1.06717404e+01   7.14285849e+01
