#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
     1600  1.96093179e-01  1.22450052e-04   8.60442827e-05   1.25108368e-02   1.25108368e-02   1.72732350e-02   4.45208286e-02   4.58636968e-04   3.87803871e-02   3.87803871e-02   5.12533701e-02   1.27855262e-01  -2.48276839e-17   1.25003092e-01   1.78696429e+02  -1.06717404e+01   7.14285702e+01
     1700  2.08337252e-01  1.22433908e-04   1.01452088e-04   1.33045164e-02   1.33045164e-02   1.83475031e-02   2.59955539e-02   5.74025511e-04   4.10623453e-02   4.10623453e-02   5.42558091e-02   8.76122334e-02  -1.94319743e-17   1.25003992e-01   1.78696429e+02  -1.06717404e+01   7.14285698e+01
     1800  2.20580435e-01  1.22432084e-04   1.81891029e-04   1.40703524e-02   1.40703524e-02   1.94250202e-02   1.87020386e-02   8.55676714e-04   4.34688850e-02   4.34688850e-02   5.72515554e-02   1.54510420e-01  -3.99765059e-17   1.25003978e-01   1.78696429e+02  -1.06717404e+01   7.14285698e+01
     1900  2.32824073e-01  1.22442127e-04   2.62552334e-04   1.48157222e-02   1.48157222e-02   2.05072111e-02   2.95825284e-02   9.50270149e-04   4.59783879e-02   4.59783879e-02   6.03382615e-02   1.65836107e-01  -2.46009982e-17   1.25003114e-01   1.78696429e+02  -1.06717404e+01   7.14285702e+01
     2000  2.45069067e-01  1.22457954e-04   3.20005724e-04   1.55602576e-02   1.55602576e-02   2.15956910e-02   3.95695329e-02   1.11301825e-03   4.85787691e-02   4.85787691e-02   6.35479698e-02   1.33549497e-01   2.91457350e-17   1.25001897e-01   1.78696429e+02  -1.06717404e+01   7.14285707e+01
     2100  2.57315622e-01  1.22472130e-04   3.51365942e-04   1.63160576e-02   1.63160576e-02   2.26903933e-02   4.46143977e-02   1.25308199e-03   5.12720789e-02   5.12720789e-02   6.68246519e-02   1.53763227e-01  -2.75585117e-19   1.25000687e-01   1.78696429e+02  -1.06717404e+01   7.14285712e+01
     2200  2.69563236e-01  1.22478403e-04   3.64070836e-04   1.70812600e-02   1.70812600e-02   2.37891658e-02   4.74377046e-02   1.32206843e-03   5.40667323e-02   5.40667323e-02   7.00526925e-02   1.70155374e-01  -5.62423110e-17   1.24999530e-01   1.78696429e+02  -1.06717404e+01   7.14285716e+01
     2300  2.81810931e-01  1.22473643e-04   3.65043917e-04   1.78495697e-02   1.78495697e-02   2.48887887e-02   5.01203119e-02   1.31524943e-03   5.69657234e-02   5.69657234e-02   7.31239492e-02   1.95466266e-01  -2.29808702e-17   1.24998499e-01   1.78696429e+02  -1.06717404e+01   7.14285720e+01
     2400  2.94057610e-01  1.22458655e-04   3.53719693e-04   1.86200313e-02   1.86200313e-02   2.59860293e-02   5.08507618e-02   1.24115816e-03   5.99578255e-02   5.99578255e-02   7.60070433e-02   2.31457315e-01  -1.41116626e-17   1.24997953e-01   1.78696429e+02  -1.06717404e+01   7.14285722e+01
     2500  3.06302441e-01  1.22437655e-04   3.26427191e-04   1.93956386e-02   1.93956386e-02   2.70778545e-02   4.65080255e-02   1.25245684e-03   6.30114819e-02   6.30114819e-02   7.91007989e-02   2.22729446e-01  -4.04663197e-19   1.24998267e-01   1.78696429e+02  -1.06717404e+01   7.14285721e+01
