#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     8500  1.02000247e+01  1.14666435e-03   1.30850178e-03   2.12700457e-01   2.12700457e-01   1.80556671e-01   2.02504098e-03   9.56724759e-03   1.67044652e+00   1.67044652e+00   1.70768405e+00   6.48417673e-03   3.77213217e-15   1.25068370e-01   1.78536441e+02  -1.06638057e+01   7.14143153e+01
     8600  1.03144504e+01  1.14204749e-03   1.33137819e-03   2.12772012e-01   2.12772012e-01   1.80338411e-01   3.09254213e-03   9.43192480e-03   1.71400980e+00   1.71400980e+00   1.71490006e+00   8.71898530e-03   2.53520736e-15   1.25074909e-01   1.78536441e+02  -1.06638059e+01   7.14143126e+01
     8700  1.04284835e+01  1.13896535e-03   1.30616688e-03   2.13128680e-01   2.13128680e-01   1.80405571e-01   1.86310280e-03   9.75629379e-03   1.76298873e+00   1.76298873e+00   1.71674881e+00   8.50993197e-03   2.47705169e-15   1.25060896e-01   1.78536441e+02  -1.06638054e+01   7.14143183e+01
     8800  1.05421465e+01  1.13434967e-03   1.27864460e-03   2.13584081e-01   2.13584081e-01   1.80436439e-01   2.13962020e-03   9.56985931e-03   1.86586223e+00   1.86586223e+00   1.71771500e+00   7.38907380e-03   1.16564506e-15   1.25077767e-01   1.78536441e+02  -1.06638055e+01   7.14143115e+01
     8900  1.06553445e+01  1.13019226e-03   1.35242147e-03   2.14250414e-01   2.14250414e-01   1.80384837e-01   3.09048504e-03   1.03493313e-02   1.94161723e+00   1.94161723e+00   1.71400013e+00   9.86149284e-03   1.66544150e-15   1.25076441e-01   1.78536441e+02  -1.06638059e+01   7.14143120e+01
     9000  1.07682000e+01  1.12751010e-03   1.30237216e-03   2.15136482e-01   2.15136482e-01   1.80687092e-01   1.49522380e-03   9.11584782e-03   1.98213280e+00   1.98213280e+00   1.70942490e+00   9.78463960e-03   1.22913147e-15   1.25050960e-01   1.78536441e+02  -1.06638050e+01   7.14143222e+01
     9100  1.08809027e+01  1.12702790e-03   1.36409632e-03   2.16095731e-01   2.16095731e-01   1.80890485e-01   2.71888163e-03   9.39180901e-03   1.98386369e+00   1.98386369e+00   1.70382567e+00   1.05172866e-02   1.52556053e-15   1.25080005e-01   1.78536441e+02  -1.06638058e+01   7.14143106e+01
     9200  1.09936561e+01  1.12847285e-03   1.32220146e-03   2.17109642e-01   2.17109642e-01   1.81369519e-01   2.62780834e-03   8.63358549e-03   1.95065906e+00   1.95065906e+00   1.69327506e+00   9.97754878e-03   6.91685861e-16   1.25078682e-01   1.78536441e+02  -1.06638055e+01   7.14143111e+01
     9300  1.11066678e+01  1.13237854e-03   1.35259753e-03   2.18420136e-01   2.18420136e-01   1.81471973e-01   1.77893533e-03   8.52920056e-03   1.88526099e+00   1.88526099e+00   1.67797910e+00   1.32766913e-02  -1.45596359e-16   1.25050489e-01   1.78536441e+02  -1.06638052e+01   7.14143224e+01
     9400  1.12201886e+01  1.13864659e-03   1.33134294e-03   2.19586937e-01   2.19586937e-01   1.81575267e-01   2.90298471e-03   8.33096114e-03   1.78667256e+00   1.78667256e+00   1.65368935e+00   9.91885809e-03   8.32580445e-16   1.25074977e-01   1.78536441e+02  -1.06638054e+01   7.14143126e+01
     9500  1.13342654e+01  1.14277593e-03   1.33135602e-03   2.21037884e-01   2.21037884e-01   1.81128133e-01   2.42851331e-03   8.11031070e-03   1.66992385e+00   1.66992385e+00   1.61451366e+00   1.08666997e-02   3.81589882e-16   1.25077153e-01   1.78536441e+02  -1.06638056e+01   7.14143117e+01
     9600  1.14487717e+01  1.14758745e-03   1.33309216e-03   2.22199441e-01   2.22199441e-01   1.80878897e-01   1.62297718e-03   7.52062045e-03   1.53493985e+00   1.53493985e+00   1.56252145e+00   9.26434754e-03  -7.99865585e-16   1.25056882e-01   1.78536441e+02  -1.06638050e+01   7.14143199e+01
     9700  1.15638520e+01  1.15420111e-03   1.39157406e-03   2.23299401e-01   2.23299401e-01   1.79861616e-01   3.25534662e-03   8.11632695e-03   1.39086929e+00   1.39086929e+00   1.49582927e+00   1.04845165e-02  -9.78158010e-16   1.25072222e-01   1.78536441e+02  -1.06638056e+01   7.14143137e+01
     9800  1.16796351e+01  1.16145688e-03   1.33135422e-03   2.24157554e-01   2.24157554e-01   1.79372212e-01   1.84337038e-03   8.31433650e-03   1.28660878e+00   1.28660878e+00   1.41832496e+00   6.45561965e-03  -2.03921622e-16   1.25064843e-01   1.78536441e+02  -1.06638052e+01   7.14143167e+01
     9900  1.17961703e+01  1.16980923e-03   1.36027084e-03   2.25000781e-01   2.25000781e-01   1.77834148e-01   2.11895035e-03   8.50073704e-03   1.27747750e+00   1.27747750e+00   1.33753905e+00   7.22291585e-03  -2.21090509e-16   1.25071533e-01   1.78536441e+02  -1.06638054e+01   7.14143140e+01
    10000  1.19135888e+01  1.17697648e-03   1.33937148e-03   2.25216058e-01   2.25216058e-01   1.77035742e-01   3.06878194e-03   8.45988191e-03   1.26572380e+00   1.26572380e+00   1.25737736e+00   8.62369622e-03  -1.03771587e-15   1.25071159e-01   1.78536441e+02  -1.06638052e+01   7.14143141e+01
    10100  1.20313577e+01  1.17779121e-03   1.39280093e-03   2.25714874e-01   2.25714874e-01   1.75133764e-01   1.73445122e-03   8.95590409e-03   1.25002379e+00   1.25002379e+00   1.18375053e+00   5.84478965e-03  -8.33233020e-17   1.25049598e-01   1.78536441e+02  -1.06638051e+01   7.14143228e+01
    10200  1.21491808e+01  1.17891024e-03   1.33820837e-03   2.25468791e-01   2.25468791e-01   1.74469369e-01   2.55000390e-03   8.28695473e-03   1.24035479e+00   1.24035479e+00   1.12339243e+00   7.46410804e-03  -1.97970207e-16   1.25077796e-01   1.78536441e+02  -1.06638051e+01   7.14143115e+01
    10300  1.22671302e+01  1.17923929e-03   1.38050906e-03   2.25519225e-01   2.25519225e-01   1.72561515e-01   2.55561317e-03   8.36927484e-03   1.26261928e+00   1.26261928e+00   1.07277788e+00   8.95324750e-03  -3.22492719e-16   1.25080115e-01   1.78536441e+02  -1.06638054e+01   7.14143106e+01
    10400  1.23850145e+01  1.17864220e-03   1.41412324e-03   2.25109371e-01   2.25109371e-01   1.72141399e-01   1.65497469e-03   9.22176750e-03   1.27550472e+00   1.27550472e+00   1.03579935e+00   6.94752532e-03  -1.68432028e-15   1.25048273e-01   1.78536441e+02  -1.06638048e+01   7.14143233e+01
    10500  1.25028418e+01  1.17800951e-03   1.40833390e-03   2.25011577e-01   2.25011577e-01   1.70412993e-01   2.96212508e-03   9.06900283e-03   1.27835030e+00   1.27835030e+00   1.00809681e+00   9.68663314e-03  -1.75210767e-15   1.25076466e-01   1.78536441e+02  -1.06638052e+01   7.14143120e+01
    10600  1.26206286e+01  1.17746123e-03   1.38504640e-03   2.24696499e-01   2.24696499e-01   1.70268211e-01   2.01369870e-03   9.74786524e-03   1.26982087e+00   1.26982087e+00   9.85999308e-01   8.72712134e-03  -7.98489845e-16   1.25069931e-01   1.78536441e+02  -1.06638049e+01   7.14143146e+01
    10700  1.27381810e+01  1.17412704e-03   1.44280632e-03   2.24760144e-01   2.24760144e-01   1.68796041e-01   1.76370095e-03   1.04151227e-02   1.32869260e+00   1.32869260e+00   9.68749817e-01   9.79047170e-03  -2.51381182e-15   1.25065440e-01   1.78536441e+02  -1.06638049e+01   7.14143164e+01
    10800  1.28555336e+01  1.17348841e-03   1.39521315e-03   2.24362352e-01   2.24362352e-01   1.68746121e-01   3.09563853e-03   1.07284740e-02   1.34888778e+00   1.34888778e+00   1.00106581e+00   1.16011258e-02  -2.61885848e-16   1.25073335e-01   1.78536441e+02  -1.06638047e+01   7.14143133e+01
    10900  1.29729012e+01  1.17453101e-03   1.50618082e-03   2.24289048e-01   2.24289048e-01   1.67672965e-01   1.51241280e-03   1.07749927e-02   1.29656297e+00   1.29656297e+00   1.02841041e+00   1.02237718e-02  -4.99294668e-16   1.25053089e-01   1.78536441e+02  -1.06638047e+01   7.14143214e+01
    11000  1.30905815e+01  1.17935215e-03   1.47346099e-03   2.23590991e-01   2.23590991e-01   1.67796877e-01   2.41072615e-03   1.07976650e-02   1.26978483e+00   1.26978483e+00   1.02374153e+00   1.07951993e-02  -2.72545594e-15   1.25078073e-01   1.78536441e+02  -1.06638047e+01   7.14143114e+01
    11100  1.32085483e+01  1.17797668e-03   1.49916587e-03   2.22747511e-01   2.22747511e-01   1.67190950e-01   2.58036907e-03   1.18048632e-02   1.32847945e+00   1.32847945e+00   1.01560419e+00   1.04752391e-02   3.15540369e-16   1.25076672e-01   1.78536441e+02  -1.06638047e+01   7.14143119e+01
    11200  1.33257340e+01  1.16513963e-03   1.61031137e-03   2.21524834e-01   2.21524834e-01   1.67607805e-01   1.72864455e-03   1.19959440e-02   1.50416117e+00   1.50416117e+00   1.10731717e+00   1.09028716e-02  -1.01713943e-15   1.25046018e-01   1.78536441e+02  -1.06638046e+01   7.14143242e+01
    11300  1.34418047e+01  1.15733972e-03   1.52862904e-03   2.20209847e-01   2.20209847e-01   1.67600175e-01   2.75822698e-03   1.19203677e-02   1.68581085e+00   1.68581085e+00   1.14352098e+00   1.18265433e-02  -2.07435125e-15   1.25074192e-01   1.78536441e+02  -1.06638045e+01   7.14143129e+01
    11400  1.35572979e+01  1.15218622e-03   1.56606772e-03   2.18974531e-01   2.18974531e-01   1.68408902e-01   2.27253464e-03   1.23523254e-02   1.86989768e+00   1.86989768e+00   1.09170127e+00   1.20641780e-02  -4.54695773e-16   1.25073391e-01   1.78536441e+02  -1.06638046e+01   7.14143133e+01
    11500  1.36721889e+01  1.14284356e-03   1.61691946e-03   2.17994232e-01   2.17994232e-01   1.68735399e-01   1.54637373e-03   1.44644714e-02   2.03747130e+00   2.03747130e+00   1.10625646e+00   1.32854300e-02  -2.08801642e-15   1.25054450e-01   1.78536441e+02  -1.06638045e+01   7.14143208e+01
    11600  1.37858411e+01  1.13077186e-03   1.58196351e-03   2.17149792e-01   2.17149792e-01   1.69408349e-01   3.14874014e-03   1.38443630e-02   2.18393983e+00   2.18393983e+00   1.29703108e+00   1.33152012e-02  -4.14123350e-16   1.25070109e-01   1.78536441e+02  -1.06638045e+01   7.14143146e+01
    11700  1.38983324e+01  1.11927902e-03   1.62872988e-03   2.16656639e-01   2.16656639e-01   1.69799727e-01   1.75403119e-03   1.62781168e-02   2.30007743e+00   2.30007743e+00   1.40068084e+00   1.39379374e-02  -2.96044416e-15   1.25061622e-01   1.78536441e+02  -1.06638046e+01   7.14143180e+01
    11800  1.40098855e+01  1.11324576e-03   1.65037515e-03   2.16306378e-01   2.16306378e-01   1.70280927e-01   2.01821368e-03   1.65321051e-02   2.37739119e+00   2.37739119e+00   1.42471470e+00   1.37140413e-02  -1.51782054e-15   1.25065535e-01   1.78536441e+02  -1.06638047e+01   7.14143164e+01
    11900  1.41211867e+01  1.11401060e-03   1.57534435e-03   2.16064703e-01   2.16064703e-01   1.70408876e-01   3.00730142e-03   1.67115424e-02   2.40139035e+00   2.40139035e+00   1.40012205e+00   1.00755502e-02  -2.01043123e-15   1.25068003e-01   1.78536441e+02  -1.06638044e+01   7.14143154e+01
    12000  1.42325123e+01  1.11292298e-03   1.65708152e-03   2.16088550e-01   2.16088550e-01   1.70735633e-01   1.85886963e-03   1.77625602e-02   2.36747477e+00   2.36747477e+00   1.53678438e+00   1.08936541e-02  -1.62014326e-15   1.25056148e-01   1.78536441e+02  -1.06638045e+01   7.14143202e+01
    12100  1.43439369e+01  1.11622878e-03   1.59011647e-03   2.16073779e-01   2.16073779e-01   1.70827038e-01   1.99406861e-03   1.81614174e-02   2.25438714e+00   2.25438714e+00   1.66051882e+00   7.47566576e-03  -2.64740744e-15   1.25073293e-01   1.78536441e+02  -1.06638045e+01   7.14143133e+01
    12200  1.44557160e+01  1.11740903e-03   1.56624876e-03   2.15910072e-01   2.15910072e-01   1.71254906e-01   3.04704047e-03   1.92521141e-02   2.07173614e+00   2.07173614e+00   1.76454644e+00   9.19719248e-03  -3.22923690e-15   1.25073349e-01   1.78536441e+02  -1.06638044e+01   7.14143133e+01
    12300  1.45675211e+01  1.11952306e-03   1.64042180e-03   2.15788916e-01   2.15788916e-01   1.71685417e-01   1.50286236e-03   2.01404507e-02   1.82839781e+00   1.82839780e+00   1.84202812e+00   6.11679246e-03  -3.55196554e-15   1.25049018e-01   1.78536441e+02  -1.06638044e+01   7.14143230e+01
    12400  1.46797921e+01  1.12639546e-03   1.55944673e-03   2.15450421e-01   2.15450421e-01   1.72714718e-01   2.51659740e-03   2.14951234e-02   1.54718006e+00   1.54718005e+00   1.89097567e+00   8.83542218e-03  -2.99777512e-15   1.25079018e-01   1.78536441e+02  -1.06638046e+01   7.14143110e+01
    12500  1.47929297e+01  1.13540871e-03   1.52005956e-03   2.15137445e-01   2.15137445e-01   1.73763435e-01   2.61107422e-03   2.26780704e-02   1.55267263e+00   1.55267262e+00   1.91551266e+00   8.23364448e-03  -3.19191118e-15   1.25076440e-01   1.78536441e+02  -1.06638044e+01   7.14143120e+01
    12600  1.49065301e+01  1.13540811e-03   1.62721639e-03   2.14826857e-01   2.14826856e-01   1.75352055e-01   1.78445521e-03   2.07569006e-02   1.56415556e+00   1.56415556e+00   1.91693144e+00   8.53677295e-03  -5.02910624e-15   1.25047665e-01   1.78536441e+02  -1.06638046e+01   7.14143236e+01
    12700  1.50200124e+01  1.13339092e-03   1.48063875e-03   2.14466376e-01   2.14466376e-01   1.77248165e-01   2.68621799e-03   2.17595198e-02   1.56485083e+00   1.56485083e+00   1.90828697e+00   8.96352946e-03  -5.35427657e-15   1.25076872e-01   1.78536441e+02  -1.06638045e+01   7.14143119e+01
    12800  1.51329459e+01  1.12646332e-03   1.50095404e-03   2.14258674e-01   2.14258674e-01   1.79397955e-01   2.45683007e-03   1.94913049e-02   1.55601159e+00   1.55601158e+00   1.89843782e+00   9.97490463e-03  -3.76039891e-15   1.25077984e-01   1.78536441e+02  -1.06638047e+01   7.14143114e+01
    12900  1.52454396e+01  1.12440241e-03   1.55427273e-03   2.14035665e-01   2.14035665e-01   1.81834935e-01   1.54523640e-03   1.78912290e-02   1.57811942e+00   1.57811942e+00   1.89536722e+00   1.22747025e-02  -4.17962047e-15   1.25049843e-01   1.78536441e+02  -1.06638046e+01   7.14143227e+01
    13000  1.53579354e+01  1.12638820e-03   1.45603206e-03   2.13844559e-01   2.13844559e-01   1.84342555e-01   3.10062395e-03   1.67235361e-02   1.54406332e+00   1.54406332e+00   1.90850258e+00   1.07775075e-02  -5.21323819e-15   1.25074117e-01   1.78536441e+02  -1.06638047e+01   7.14143130e+01
    13100  1.54709002e+01  1.13332559e-03   1.47036443e-03   2.13705137e-01   2.13705137e-01   1.87031739e-01   1.91349407e-03   1.60754907e-02   1.58716895e+00   1.58716894e+00   1.94002092e+00   1.16656832e-02  -3.77969642e-15   1.25070374e-01   1.78536441e+02  -1.06638048e+01   7.14143145e+01
    13200  1.55846590e+01  1.13975217e-03   1.51224412e-03   2.13474234e-01   2.13474234e-01   1.89670937e-01   1.95439447e-03   1.48145017e-02   1.64488519e+00   1.64488519e+00   1.98489596e+00   9.58811510e-03  -3.98103484e-15   1.25062584e-01   1.78536441e+02  -1.06638049e+01   7.14143176e+01
    13300  1.56987948e+01  1.14249390e-03   1.37859045e-03   2.13131210e-01   2.13131210e-01   1.92191552e-01   3.02264772e-03   1.35905563e-02   1.69366618e+00   1.69366617e+00   2.03883213e+00   1.00611758e-02  -3.80567791e-15   1.25071954e-01   1.78536441e+02  -1.06638045e+01   7.14143138e+01
    13400  1.58131628e+01  1.14374729e-03   1.51411046e-03   2.13005011e-01   2.13005011e-01   1.94320233e-01   1.93646875e-03   1.34684809e-02   1.74073427e+00   1.74073426e+00   2.08225826e+00   1.03557017e-02  -3.30540591e-15   1.25060240e-01   1.78536441e+02  -1.06638049e+01   7.14143185e+01
    13500  1.59274563e+01  1.14281046e-03   1.44121091e-03   2.12784279e-01   2.12784279e-01   1.96321772e-01   1.97732802e-03   1.32899092e-02   1.75625883e+00   1.75625881e+00   2.10204295e+00   9.82667033e-03  -3.88860259e-15   1.25075031e-01   1.78536441e+02  -1.06638047e+01   7.14143126e+01
    13600  1.60417756e+01  1.14343774e-03   1.44672308e-03   2.12833574e-01   2.12833574e-01   1.97507378e-01   3.05551929e-03   1.29322899e-02   1.78269936e+00   1.78269933e+00   2.08745274e+00   1.16060745e-02  -3.52950885e-15   1.25077098e-01   1.78536441e+02  -1.06638048e+01   7.14143118e+01
    13700  1.61561316e+01  1.14373381e-03   1.53080961e-03   2.12821536e-01   2.12821536e-01   1.98928549e-01   1.47582769e-03   1.33197359e-02   1.77735393e+00   1.77735389e+00   2.02640968e+00   9.13353778e-03  -3.99940660e-15   1.25050511e-01   1.78536441e+02  -1.06638048e+01   7.14143224e+01
    13800  1.62706511e+01  1.14660895e-03   1.44372608e-03   2.13031644e-01   2.13031644e-01   1.99759163e-01   2.61251722e-03   1.25405079e-02   1.76962091e+00   1.76962085e+00   1.92020689e+00   1.04756588e-02  -3.84253333e-15   1.25082051e-01   1.78536441e+02  -1.06638049e+01   7.14143098e+01
    13900  1.63851923e+01  1.14505734e-03   1.38619678e-03   2.13043409e-01   2.13043409e-01   2.00959743e-01   2.51635937e-03   1.20365700e-02   1.75172572e+00   1.75172563e+00   1.77590481e+00   9.89023315e-03  -3.35065345e-15   1.25080019e-01   1.78536441e+02  -1.06638046e+01   7.14143106e+01
    14000  1.64996663e+01  1.14133455e-03   1.55149248e-03   2.13326258e-01   2.13326258e-01   2.01653123e-01   1.78493683e-03   1.22362260e-02   1.72761750e+00   1.72761738e+00   1.64717840e+00   9.14621988e-03  -3.36371194e-15   1.25050717e-01   1.78536441e+02  -1.06638049e+01   7.14143223e+01
    14100  1.66131442e+01  1.12899974e-03   1.38926022e-03   2.13418607e-01   2.13418607e-01   2.02622782e-01   2.80886027e-03   1.20502710e-02   1.69261370e+00   1.69261354e+00   1.75323871e+00   9.68972676e-03  -3.14100420e-15   1.25077275e-01   1.78536441e+02  -1.06638046e+01   7.14143117e+01
    14200  1.67255600e+01  1.11996864e-03   1.47935281e-03   2.13987861e-01   2.13987861e-01   2.02745353e-01   2.38264401e-03   1.36076194e-02   1.67374080e+00   1.67374060e+00   1.79009961e+00   1.02934642e-02  -4.42920224e-15   1.25077747e-01   1.78536441e+02  -1.06638051e+01   7.14143115e+01
    14300  1.68372437e+01  1.11480001e-03   1.50183105e-03   2.14374998e-01   2.14374998e-01   2.03033528e-01   1.53625883e-03   1.56602163e-02   1.79051696e+00   1.79051701e+00   1.73855609e+00   1.62250159e-02  -4.32473778e-15   1.25055900e-01   1.78536441e+02  -1.06638048e+01   7.14143203e+01
    14400  1.69487215e+01  1.11589134e-03   1.41595834e-03   2.15211931e-01   2.15211931e-01   2.02065602e-01   3.20525333e-03   1.84211324e-02   1.99453404e+00   1.99453410e+00   1.58260364e+00   2.41897494e-02  -3.14459883e-15   1.25068351e-01   1.78536441e+02  -1.06638046e+01   7.14143153e+01
    14500  1.70606770e+01  1.12326789e-03   1.46261038e-03   2.15735802e-01   2.15735802e-01   2.01715780e-01   1.95394864e-03   2.21820407e-02   2.06364638e+00   2.06364646e+00   1.30139621e+00   3.45951271e-02  -3.15312383e-15   1.25059967e-01   1.78536441e+02  -1.06638046e+01   7.14143186e+01
    14600  1.71734478e+01  1.13157114e-03   1.54163264e-03   2.16301219e-01   2.16301219e-01   2.00751155e-01   2.11007260e-03   2.56766310e-02   1.85317898e+00   1.85317909e+00   1.10943258e+00   4.13893243e-02  -3.36221360e-15   1.25051331e-01   1.78536441e+02  -1.06638047e+01   7.14143221e+01
    14700  1.72871120e+01  1.14239112e-03   1.45925997e-03   2.15696170e-01   2.15696170e-01   2.01568272e-01   3.10331459e-03   2.56352976e-02   2.00321042e+00   2.00321170e+00   1.04722312e+00   3.29047086e-02  -2.38572101e-15   1.25058781e-01   1.78536441e+02  -1.06638041e+01   7.14143191e+01
    14800  1.74012773e+01  1.13718018e-03   1.57880275e-03   2.15132554e-01   2.15132554e-01   2.02176124e-01   1.93822039e-03   2.49197239e-02   2.21045040e+00   2.21045234e+00   1.00881584e+00   2.15513042e-02  -2.90415049e-15   1.25056222e-01   1.78536441e+02  -1.06638044e+01   7.14143201e+01
    14900  1.75145835e+01  1.12968743e-03   1.47982594e-03   2.14073849e-01   2.14073849e-01   2.03339875e-01   1.98294144e-03   2.32643733e-02   2.34613034e+00   2.34613315e+00   1.06090358e+00   7.70727510e-03  -3.42926930e-15   1.25075942e-01   1.78536441e+02  -1.06638040e+01   7.14143122e+01
    15000  1.76273771e+01  1.12708399e-03   1.43707074e-03   2.13677308e-01   2.13677308e-01   2.03001335e-01   3.06049696e-03   2.26203530e-02   2.36389634e+00   2.36390035e+00   1.08317982e+00   1.08963332e-02  -3.75667840e-15   1.25075332e-01   1.78536441e+02  -1.06638037e+01   7.14143125e+01
    15100  1.77401899e+01  1.12930482e-03   1.53852508e-03   2.13209256e-01   2.13209256e-01   2.03048050e-01   1.44556003e-03   2.21751928e-02   2.26677372e+00   2.26677931e+00   1.10235477e+00   7.22003209e-03  -2.54230308e-15   1.25051455e-01   1.78536441e+02  -1.06638037e+01   7.14143220e+01
    15200  1.78529476e+01  1.12672102e-03   1.45941420e-03   2.13535795e-01   2.13535795e-01   2.01575527e-01   2.56283588e-03   2.07696362e-02   2.08001236e+00   2.08001980e+00   1.30603080e+00   9.44639087e-03  -2.59211733e-15   1.25081256e-01   1.78536441e+02  -1.06638039e+01   7.14143101e+01
    15300  1.79656541e+01  1.12846299e-03   1.44839862e-03   2.13508823e-01   2.13508823e-01   2.00973952e-01   2.58211310e-03   1.83442471e-02   1.83698571e+00   1.83699507e+00   1.55937281e+00   8.27722104e-03  -3.86451370e-15   1.25078159e-01   1.78536441e+02  -1.06638037e+01   7.14143113e+01
    15400  1.80787583e+01  1.13415197e-03   1.57175548e-03   2.14284973e-01   2.14284973e-01   1.98855705e-01   1.74475149e-03   1.63684881e-02   1.59559145e+00   1.59559109e+00   1.78731018e+00   6.14519469e-03  -2.87869088e-15   1.25051167e-01   1.78536441e+02  -1.06638039e+01   7.14143221e+01
    15500  1.81925478e+01  1.14205904e-03   1.44537183e-03   2.14400980e-01   2.14400980e-01   1.97978701e-01   2.73892395e-03   1.36032690e-02   1.55877443e+00   1.55877408e+00   1.97929267e+00   7.43224201e-03  -3.20897342e-15   1.25076870e-01   1.78536441e+02  -1.06638036e+01   7.14143119e+01
    15600  1.83072628e+01  1.15210078e-03   1.47095745e-03   2.15217349e-01   2.15217349e-01   1.95760977e-01   2.40270262e-03   1.38920209e-02   1.52932590e+00   1.52932562e+00   2.12218681e+00   8.59741945e-03  -4.76625792e-15   1.25078734e-01   1.78536441e+02  -1.06638038e+01   7.14143111e+01
    15700  1.84225030e+01  1.15061683e-03   1.54025773e-03   2.15453167e-01   2.15453167e-01   1.94651991e-01   1.50833197e-03   1.35287788e-02   1.48361283e+00   1.48361264e+00   2.21186876e+00   8.25895631e-03  -4.51703282e-15   1.25059356e-01   1.78536441e+02  -1.06638037e+01   7.14143189e+01
    15800  1.85373568e+01  1.14657276e-03   1.46408157e-03   2.16364990e-01   2.16364990e-01   1.91997254e-01   3.20331360e-03   1.32135492e-02   1.44384113e+00   1.44384108e+00   2.23393728e+00   9.77831997e-03  -4.11039244e-15   1.25072474e-01   1.78536441e+02  -1.06638036e+01   7.14143136e+01
    15900  1.86518832e+01  1.14426847e-03   1.51363319e-03   2.16886221e-01   2.16886221e-01   1.90534595e-01   1.79527351e-03   1.34667949e-02   1.41082790e+00   1.41082794e+00   2.19587678e+00   9.44457499e-03  -3.96329949e-15   1.25071866e-01   1.78536441e+02  -1.06638037e+01   7.14143139e+01
    16000  1.87663229e+01  1.14499240e-03   1.51273865e-03   2.18216643e-01   2.18216643e-01   1.87196636e-01   2.02484430e-03   1.55095150e-02   1.36416138e+00   1.36416107e+00   2.10153972e+00   8.67086766e-03  -4.50421035e-15   1.25074356e-01   1.78536441e+02  -1.06638038e+01   7.14143129e+01
    16100  1.88809618e+01  1.14854224e-03   1.44774115e-03   2.18735988e-01   2.18735988e-01   1.85436964e-01   3.10204826e-03   1.76476111e-02   1.33471808e+00   1.33471779e+00   1.96029284e+00   8.32143806e-03  -4.61359120e-15   1.25071985e-01   1.78536441e+02  -1.06638034e+01   7.14143138e+01
    16200  1.89961296e+01  1.15525111e-03   1.52099825e-03   2.20098955e-01   2.20098955e-01   1.82256963e-01   1.78823179e-03   1.95443149e-02   1.30308869e+00   1.30308513e+00   1.78393394e+00   7.12154430e-03  -3.81547222e-15   1.25061348e-01   1.78536441e+02  -1.06638036e+01   7.14143181e+01
    16300  1.91120691e+01  1.16425109e-03   1.41897554e-03   2.20295857e-01   2.20295857e-01   1.81634915e-01   2.31253070e-03   2.00884762e-02   1.29053675e+00   1.29053255e+00   1.58869495e+00   6.80409947e-03  -4.16693962e-15   1.25081631e-01   1.78536441e+02  -1.06638034e+01   7.14143100e+01
    16400  1.92286719e+01  1.15944018e-03   1.38446118e-03   2.20902213e-01   2.20902213e-01   1.80344767e-01   2.85276720e-03   2.00490422e-02   1.28483255e+00   1.28482763e+00   1.47783217e+00   8.20744869e-03  -5.97598960e-15   1.25080075e-01   1.78536441e+02  -1.06638034e+01   7.14143106e+01
    16500  1.93431970e+01  1.13133807e-03   1.44322196e-03   2.20257682e-01   2.20257682e-01   1.82094263e-01   1.55846955e-03   2.02395418e-02   1.49653837e+00   1.49653469e+00   1.81782709e+00   1.29342430e-02  -6.15997643e-15   1.25052021e-01   1.78536441e+02  -1.06638032e+01   7.14143218e+01
    16600  1.94550399e+01  1.10668213e-03   1.33871524e-03   2.20006101e-01   2.20006101e-01   1.82738048e-01   2.82973667e-03   2.02606677e-02   1.73392368e+00   1.73391910e+00   2.11723520e+00   2.23512339e-02  -5.14109214e-15   1.25076617e-01   1.78536441e+02  -1.06638033e+01   7.14143120e+01
    16700  1.95648031e+01  1.09025029e-03   1.34941557e-03   2.18826139e-01   2.18826139e-01   1.85022969e-01   2.48365714e-03   2.25218504e-02   1.97835584e+00   1.97835052e+00   2.25488317e+00   2.60903332e-02  -6.02826554e-15   1.25076978e-01   1.78536441e+02  -1.06638031e+01   7.14143118e+01
    16800  1.96735782e+01  1.08775969e-03   1.50476142e-03   2.18795320e-01   2.18795321e-01   1.84551550e-01   1.78197393e-03   2.49479117e-02   2.15984376e+00   2.15984022e+00   2.13919114e+00   2.36725660e-02  -6.23467683e-15   1.25048956e-01   1.78536441e+02  -1.06638030e+01   7.14143230e+01
    16900  1.97827810e+01  1.09501810e-03   1.46881939e-03   2.18330465e-01   2.18330465e-01   1.85283173e-01   2.90922558e-03   2.89807081e-02   2.23324215e+00   2.23323617e+00   2.11569286e+00   1.99827646e-02  -6.19260606e-15   1.25073396e-01   1.78536441e+02  -1.06638026e+01   7.14143133e+01
    17000  1.98925987e+01  1.10238469e-03   1.51893026e-03   2.19335455e-01   2.19335456e-01   1.83905044e-01   2.44381742e-03   3.33135258e-02   2.17574832e+00   2.17573596e+00   2.21293479e+00   1.35163037e-02  -7.59734098e-15   1.25079192e-01   1.78536441e+02  -1.06638025e+01   7.14143109e+01
    17100  2.00030262e+01  1.10109716e-03   1.61738485e-03   2.19805606e-01   2.19805606e-01   1.84654756e-01   1.57931252e-03   3.23918093e-02   2.04425666e+00   2.04430338e+00   2.23846134e+00   1.50452188e-02  -7.61397837e-15   1.25056330e-01   1.78536441e+02  -1.06638023e+01   7.14143201e+01
