#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_v2        l2_rho_v3        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_v2      linf_rho_v3      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     1600  1.95713787e+00  1.21955640e-03   8.08327544e-04   6.35398596e-02   6.35398596e-02   8.31886023e-02   1.01103473e-03   4.06514936e-03   1.51678292e-01   1.51678292e-01   2.61324812e-01   3.35110425e-03   5.80035643e-17   1.25049518e-01   1.78536441e+02  -1.06638063e+01   7.14143228e+01
     1700  2.07904408e+00  1.21900348e-03   1.01395376e-03   6.53617576e-02   6.53617576e-02   9.07688969e-02   2.61865671e-03   4.28384859e-03   1.63126542e-01   1.63126542e-01   2.85485084e-01   7.98410946e-03   1.30962593e-15   1.25085485e-01   1.78536441e+02  -1.06638074e+01   7.14143084e+01
     1800  2.20089206e+00  1.21828980e-03   8.61983365e-04   7.10929469e-02   7.10929469e-02   9.28122387e-02   5.71438681e-04   4.02190241e-03   1.79430519e-01   1.79430519e-01   2.98605659e-01   1.76002909e-03   8.97569142e-16   1.25019589e-01   1.78536441e+02  -1.06638057e+01   7.14143348e+01
     1900  2.32266364e+00  1.21767951e-03   1.05397992e-03   7.31860506e-02   7.31860506e-02   1.00073930e-01   2.13224437e-03   4.83571561e-03   1.82918726e-01   1.82918726e-01   3.23066871e-01   7.57046798e-03   1.39698095e-15   1.25083059e-01   1.78536441e+02  -1.06638072e+01   7.14143094e+01
     2000  2.44442372e+00  1.21711538e-03   9.31017559e-04   7.84079573e-02   7.84079573e-02   1.02545458e-01   1.78084267e-03   4.29039959e-03   2.07394861e-01   2.07394861e-01   3.37749354e-01   4.49983392e-03   7.24939652e-17   1.25075925e-01   1.78536441e+02  -1.06638066e+01   7.14143122e+01
     2100  2.56608585e+00  1.21588653e-03   1.08108714e-03   8.10137554e-02   8.10137554e-02   1.08773201e-01   1.01335222e-03   4.85868833e-03   2.11719532e-01   2.11719532e-01   3.59948017e-01   4.45223787e-03   1.70578314e-15   1.25031567e-01   1.78536441e+02  -1.06638061e+01   7.14143300e+01
     2200  2.68770622e+00  1.21577880e-03   1.06389804e-03   8.53039489e-02   8.53039489e-02   1.12157556e-01   2.69117499e-03   4.58387083e-03   2.27499828e-01   2.27499828e-01   3.75341407e-01   6.31271008e-03   1.02486717e-15   1.25081182e-01   1.78536441e+02  -1.06638068e+01   7.14143101e+01
     2300  2.80924302e+00  1.21481297e-03   1.09323075e-03   8.89653700e-02   8.89653700e-02   1.16850035e-01   1.19667733e-03   5.21318146e-03   2.45051131e-01   2.45051131e-01   3.93938849e-01   5.26649187e-03   1.25448618e-15   1.25045864e-01   1.78536441e+02  -1.06638062e+01   7.14143243e+01
     2400  2.93070920e+00  1.21460153e-03   1.04040764e-03   9.24505614e-02   9.24505614e-02   1.21417584e-01   1.47076883e-03   4.67982760e-03   2.49062432e-01   2.49062432e-01   4.10326253e-01   4.05838817e-03   2.69314451e-15   1.25067128e-01   1.78536441e+02  -1.06638063e+01   7.14143158e+01
     2500  3.05212047e+00  1.21406709e-03   1.14098816e-03   9.67606827e-02   9.67606827e-02   1.24469965e-01   2.52893986e-03   4.86397287e-03   2.70940532e-01   2.70940532e-01   4.24932742e-01   8.44070133e-03   1.46309428e-15   1.25088416e-01   1.78536441e+02  -1.06638069e+01   7.14143072e+01
     2600  3.17345021e+00  1.21327590e-03   1.13278688e-03   9.93764676e-02   9.93764676e-02   1.30167380e-01   5.65980650e-04   5.07934286e-03   2.78934128e-01   2.78934128e-01   4.44278375e-01   2.40196409e-03   3.29281773e-15   1.25020755e-01   1.78536441e+02  -1.06638057e+01   7.14143343e+01
     2700  3.29473709e+00  1.21298488e-03   1.17298521e-03   1.04269504e-01   1.04269504e-01   1.32004888e-01   2.57803792e-03   5.13021611e-03   2.91062681e-01   2.91062681e-01   4.53411680e-01   7.73355784e-03   4.03764671e-15   1.25087915e-01   1.78536441e+02  -1.06638067e+01   7.14143074e+01
     2800  3.41597422e+00  1.21176228e-03   1.16416407e-03   1.06447116e-01   1.06447116e-01   1.38183830e-01   1.52817579e-03   5.43913431e-03   3.09590617e-01   3.09590617e-01   4.75385607e-01   5.65446961e-03   1.89826350e-15   1.25069539e-01   1.78536441e+02  -1.06638064e+01   7.14143148e+01
