#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_e         linf_rho         linf_rho_v1      linf_rho_e       dsdu_ut          e_kinetic        e_total          entropy          pressure      
        0  0.00000000e+00  1.00000000e+00   8.69552378e-05   8.69552378e-06   4.34776188e-07   1.78328244e-04   1.78328244e-05   8.91641214e-07  -2.75821033e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      100  4.16214995e-03  4.15959045e-05   8.84633146e-05   8.84633146e-06   4.42316577e-07   1.90115389e-04   1.90115389e-05   9.50576677e-07   3.12250226e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      200  8.31937206e-03  4.15501987e-05   9.28337618e-05   9.28337618e-06   4.64168807e-07   2.06756637e-04   2.06756637e-05   1.03378375e-06   3.71230824e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      300  1.24723888e-02  4.15117278e-05   9.96823092e-05   9.96823092e-06   4.98411544e-07   3.11661587e-04   3.11661587e-05   1.55830878e-06   6.19296281e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      400  1.66219247e-02  4.14805148e-05   1.08534461e-04   1.08534461e-05   5.42672295e-07   4.17538836e-04   4.17538836e-05   2.08769516e-06  -1.38777878e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      500  2.07687069e-02  4.14565847e-05   1.18939112e-04   1.18939112e-05   5.94695556e-07   5.24355158e-04   5.24355158e-05   2.62177717e-06   2.58473798e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      600  2.49134651e-02  4.14399643e-05   1.30522471e-04   1.30522471e-05   6.52612360e-07   6.32077940e-04   6.32077940e-05   3.16039137e-06   8.50014503e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      700  2.90569315e-02  4.14306829e-05   1.42996624e-04   1.42996624e-05   7.14983136e-07   7.40675113e-04   7.40675113e-05   3.70337781e-06   6.59194921e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      800  3.31998417e-02  4.14287718e-05   1.56147534e-04   1.56147534e-05   7.80737677e-07   8.50115083e-04   8.50115083e-05   4.25057791e-06   1.73472348e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
      900  3.73429344e-02  4.14342646e-05   1.69818228e-04   1.69818228e-05   8.49091138e-07   9.60366664e-04   9.60366664e-05   4.80183581e-06   3.00107161e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1000  4.14869518e-02  4.14471972e-05   1.83893729e-04   1.83893729e-05   9.19468642e-07   1.07139900e-03   1.07139900e-04   5.35699798e-06   2.51534904e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1100  4.56326398e-02  4.14676081e-05   1.98289351e-04   1.98289351e-05   9.91446766e-07   1.18318151e-03   1.18318151e-04   5.91591077e-06   1.56125113e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1200  4.97807483e-02  4.14955379e-05   2.12942170e-04   2.12942170e-05   1.06471086e-06   1.29568378e-03   1.29568378e-04   6.47842263e-06  -8.15320034e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1300  5.39320312e-02  4.15310300e-05   2.27804948e-04   2.27804948e-05   1.13902473e-06   1.40887555e-03   1.40887555e-04   7.04438128e-06   8.67361738e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1400  5.80872472e-02  4.15741301e-05   2.42841846e-04   2.42841846e-05   1.21420922e-06   1.52272656e-03   1.52272656e-04   7.61363696e-06  -4.64905892e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1500  6.22471594e-02  4.16248868e-05   2.58025387e-04   2.58025387e-05   1.29012693e-06   1.63720653e-03   1.63720653e-04   8.18603701e-06   4.61436445e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1600  6.64125361e-02  4.16833513e-05   2.73334294e-04   2.73334294e-05   1.36667147e-06   1.75228507e-03   1.75228507e-04   8.76142990e-06  -1.83880688e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1700  7.05841507e-02  4.17495773e-05   2.88751938e-04   2.88751938e-05   1.44375969e-06   1.86793160e-03   1.86793160e-04   9.33966276e-06   2.09901541e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1800  7.47627823e-02  4.18236216e-05   3.04265200e-04   3.04265200e-05   1.52132603e-06   1.98411523e-03   1.98411523e-04   9.92058171e-06   2.72351586e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     1900  7.89492156e-02  4.19055437e-05   3.19863645e-04   3.19863645e-05   1.59931826e-06   2.10080475e-03   2.10080475e-04   1.05040296e-05  -1.37043155e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2000  8.31442416e-02  4.19954060e-05   3.35538895e-04   3.35538895e-05   1.67769448e-06   2.21796847e-03   2.21796847e-04   1.10898482e-05  -2.22044605e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2100  8.73486576e-02  4.20932737e-05   3.51284167e-04   3.51284167e-05   1.75642086e-06   2.33557418e-03   2.33557418e-04   1.16778773e-05   3.01841885e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2200  9.15632674e-02  4.21992153e-05   3.67093913e-04   3.67093913e-05   1.83546958e-06   2.45358903e-03   2.45358903e-04   1.22679517e-05   1.21430643e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2300  9.57888821e-02  4.23133020e-05   3.82963545e-04   3.82963545e-05   1.91481774e-06   2.57197946e-03   2.57197946e-04   1.28599041e-05   6.24500451e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2400  1.00026320e-01  4.24356082e-05   3.98889222e-04   3.98889222e-05   1.99444610e-06   2.69071108e-03   2.69071108e-04   1.34535617e-05   2.77555756e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2500  1.04276407e-01  4.25662114e-05   4.14867683e-04   4.14867683e-05   2.07433845e-06   2.80974859e-03   2.80974859e-04   1.40487504e-05  -4.16333634e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2600  1.08539976e-01  4.27051924e-05   4.30896108e-04   4.30896108e-05   2.15448054e-06   2.92905567e-03   2.92905567e-04   1.46452855e-05   8.32667268e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2700  1.12817871e-01  4.28526348e-05   4.46972012e-04   4.46972012e-05   2.23486008e-06   3.04859487e-03   3.04859487e-04   1.52429822e-05   1.73472348e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2800  1.17110940e-01  4.30086259e-05   4.63093157e-04   4.63093157e-05   2.31546578e-06   3.16832751e-03   3.16832751e-04   1.58416455e-05   3.60822483e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     2900  1.21420044e-01  4.31732559e-05   4.79257480e-04   4.79257480e-05   2.39628740e-06   3.28821356e-03   3.28821356e-04   1.64410766e-05  -2.53269627e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3000  1.25746051e-01  4.33466183e-05   4.95463032e-04   4.95463032e-05   2.47731516e-06   3.40821152e-03   3.40821152e-04   1.70410664e-05   1.87350135e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3100  1.30089840e-01  4.35288100e-05   5.11707930e-04   5.11707930e-05   2.55853966e-06   3.52827831e-03   3.52827831e-04   1.76414008e-05   4.85722573e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3200  1.34452298e-01  4.37199311e-05   5.27990312e-04   5.27990312e-05   2.63995161e-06   3.64836913e-03   3.64836913e-04   1.82418552e-05   0.00000000e+00   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3300  1.38834323e-01  4.39200853e-05   5.44308303e-04   5.44308303e-05   2.72154149e-06   3.76843734e-03   3.76843734e-04   1.88421958e-05   1.28369537e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3400  1.43236824e-01  4.41293792e-05   5.60659982e-04   5.60659982e-05   2.80329993e-06   3.88843433e-03   3.88843433e-04   1.94421814e-05  -4.51028104e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3500  1.47660721e-01  4.43479231e-05   5.77043359e-04   5.77043359e-05   2.88521677e-06   4.00830936e-03   4.00830936e-04   2.00415568e-05   3.83373888e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3600  1.52106944e-01  4.45758304e-05   5.93456350e-04   5.93456350e-05   2.96728177e-06   4.12800945e-03   4.12800945e-04   2.06400578e-05   2.94902991e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3700  1.56576436e-01  4.48132180e-05   6.09896754e-04   6.09896754e-05   3.04948377e-06   4.24747918e-03   4.24747918e-04   2.12374064e-05  -1.59594560e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3800  1.61070150e-01  4.50602060e-05   6.26362241e-04   6.26362241e-05   3.13181124e-06   4.36666058e-03   4.36666058e-04   2.18333139e-05  -2.06432094e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     3900  1.65589053e-01  4.53169177e-05   6.42850333e-04   6.42850333e-05   3.21425171e-06   4.48549293e-03   4.48549293e-04   2.24274764e-05  -5.55111512e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4000  1.70134123e-01  4.55834799e-05   6.59358395e-04   6.59358395e-05   3.29679201e-06   4.60391262e-03   4.60391262e-04   2.30195746e-05  -2.67147415e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4100  1.74706353e-01  4.58600223e-05   6.75883617e-04   6.75883617e-05   3.37941810e-06   4.72185298e-03   4.72185298e-04   2.36092769e-05   7.63278329e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4200  1.79306747e-01  4.61466780e-05   6.92423011e-04   6.92423011e-05   3.46211505e-06   4.83924405e-03   4.83924405e-04   2.41962317e-05   2.63677968e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4300  1.83936322e-01  4.64435831e-05   7.08973403e-04   7.08973403e-05   3.54486702e-06   4.95601245e-03   4.95601245e-04   2.47800754e-05  -3.45209972e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4400  1.88596112e-01  4.67508767e-05   7.25531423e-04   7.25531423e-05   3.62765703e-06   5.07208114e-03   5.07208114e-04   2.53604176e-05   5.03069808e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4500  1.93287161e-01  4.70687008e-05   7.42093506e-04   7.42093506e-05   3.71046752e-06   5.18736926e-03   5.18736926e-04   2.59368596e-05  -6.76542156e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4600  1.98003569e-01  4.71212410e-05   7.58631561e-04   7.58631561e-05   3.79315776e-06   5.30162450e-03   5.30162450e-04   2.65081349e-05  -3.78169718e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4700  2.02704461e-01  4.68999923e-05   7.74996682e-04   7.74996682e-05   3.87498342e-06   5.41377285e-03   5.41377285e-04   2.70688779e-05  -5.89805982e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4800  2.07383583e-01  4.66857478e-05   7.91163417e-04   7.91163417e-05   3.95581711e-06   5.52360812e-03   5.52360812e-04   2.76180545e-05  -2.48065457e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     4900  2.12041632e-01  4.64784555e-05   8.07130955e-04   8.07130955e-05   4.03565478e-06   5.63109517e-03   5.63109517e-04   2.81554900e-05   4.37150316e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5000  2.16679300e-01  4.62780646e-05   8.22898641e-04   8.22898641e-05   4.11449319e-06   5.73620006e-03   5.73620006e-04   2.86810149e-05  -2.15105711e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5100  2.21297276e-01  4.60845263e-05   8.38465981e-04   8.38465981e-05   4.19232991e-06   5.83888991e-03   5.83888991e-04   2.91944640e-05   1.11022302e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5200  2.25896242e-01  4.58977931e-05   8.53832643e-04   8.53832643e-05   4.26916322e-06   5.93913281e-03   5.93913281e-04   2.96956799e-05   1.89084859e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5300  2.30476877e-01  4.57178191e-05   8.68998462e-04   8.68998462e-05   4.34499233e-06   6.03689776e-03   6.03689776e-04   3.01845035e-05   6.59194921e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5400  2.35039853e-01  4.55445603e-05   8.83963446e-04   8.83963446e-05   4.41981728e-06   6.13215455e-03   6.13215455e-04   3.06607881e-05  -3.46944695e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5500  2.39585841e-01  4.53779739e-05   8.98727774e-04   8.98727774e-05   4.49363885e-06   6.22487369e-03   6.22487369e-04   3.11243838e-05  -5.20417043e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5600  2.44115506e-01  4.52180191e-05   9.13291807e-04   9.13291807e-05   4.56645903e-06   6.31502636e-03   6.31502636e-04   3.15751484e-05   3.46944695e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5700  2.48629508e-01  4.50646564e-05   9.27656085e-04   9.27656085e-05   4.63828040e-06   6.40258426e-03   6.40258426e-04   3.20129378e-05   1.94289029e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5800  2.53128506e-01  4.49178483e-05   9.41821335e-04   9.41821335e-05   4.70910662e-06   6.48751962e-03   6.48751962e-04   3.24376145e-05  -1.21430643e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     5900  2.57613152e-01  4.47775587e-05   9.55788475e-04   9.55788474e-05   4.77894237e-06   6.56980506e-03   6.56980506e-04   3.28490423e-05  -3.46944695e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6000  2.62084096e-01  4.46437531e-05   9.69558611e-04   9.69558611e-05   4.84779306e-06   6.64941357e-03   6.64941357e-04   3.32470846e-05   1.19695920e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6100  2.66541987e-01  4.45163988e-05   9.83133051e-04   9.83133051e-05   4.91566523e-06   6.72631838e-03   6.72631838e-04   3.36316092e-05   2.42861287e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6200  2.70987466e-01  4.43954647e-05   9.96513299e-04   9.96513299e-05   4.98256650e-06   6.80049298e-03   6.80049298e-04   3.40024819e-05   2.09901541e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6300  2.75421175e-01  4.42809213e-05   1.00970106e-03   1.00970106e-04   5.04850527e-06   6.87191097e-03   6.87191097e-04   3.43595726e-05   2.58473798e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6400  2.79843751e-01  4.41727408e-05   1.02269826e-03   1.02269826e-04   5.11349125e-06   6.94054606e-03   6.94054606e-04   3.47027481e-05   6.59194921e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6500  2.84255829e-01  4.40708970e-05   1.03550700e-03   1.03550700e-04   5.17753504e-06   7.00637199e-03   7.00637199e-04   3.50318794e-05  -1.45716772e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6600  2.88658042e-01  4.39753655e-05   1.04812964e-03   1.04812964e-04   5.24064822e-06   7.06936246e-03   7.06936246e-04   3.53468315e-05  -1.80411242e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6700  2.93051020e-01  4.38861234e-05   1.06056872e-03   1.06056872e-04   5.30284357e-06   7.12949110e-03   7.12949110e-04   3.56474748e-05  -4.75314232e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6800  2.97435390e-01  4.38031495e-05   1.07282701e-03   1.07282701e-04   5.36413512e-06   7.18673139e-03   7.18673139e-04   3.59336770e-05  -3.12250226e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     6900  3.01811778e-01  4.37264244e-05   1.08490751e-03   1.08490751e-04   5.42453757e-06   7.24105664e-03   7.24105664e-04   3.62053034e-05   2.46330734e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7000  3.06180809e-01  4.36559301e-05   1.09681342e-03   1.09681342e-04   5.48406711e-06   7.29243990e-03   7.29243990e-04   3.64622204e-05  -8.84708973e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7100  3.10543104e-01  4.35916505e-05   1.10854819e-03   1.10854819e-04   5.54274100e-06   7.34085396e-03   7.34085396e-04   3.67042902e-05  -3.46944695e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7200  3.14899284e-01  4.35335711e-05   1.12011549e-03   1.12011549e-04   5.60057744e-06   7.38627127e-03   7.38627127e-04   3.69313774e-05  -6.24500451e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7300  3.19249969e-01  4.34816790e-05   1.13151923e-03   1.13151923e-04   5.65759609e-06   7.42866391e-03   7.42866391e-04   3.71433402e-05   2.79290480e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7400  3.23595777e-01  4.34359630e-05   1.14276353e-03   1.14276353e-04   5.71381758e-06   7.46800352e-03   7.46800352e-04   3.73400387e-05  -7.63278329e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7500  3.27937325e-01  4.33964135e-05   1.15385277e-03   1.15385277e-04   5.76926387e-06   7.50426132e-03   7.50426132e-04   3.75213284e-05   2.84494650e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7600  3.32275229e-01  4.33630228e-05   1.16479156e-03   1.16479156e-04   5.82395771e-06   7.53740801e-03   7.53740801e-04   3.76870612e-05   1.59594560e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7700  3.36610104e-01  4.33357846e-05   1.17558474e-03   1.17558474e-04   5.87792367e-06   7.56741376e-03   7.56741376e-04   3.78370905e-05  -1.09287579e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7800  3.40942566e-01  4.33146943e-05   1.18623741e-03   1.18623741e-04   5.93118703e-06   7.59424818e-03   7.59424818e-04   3.79712629e-05   3.78169718e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     7900  3.45273230e-01  4.32997491e-05   1.19675490e-03   1.19675490e-04   5.98377442e-06   7.61788027e-03   7.61788027e-04   3.80894245e-05   5.89805982e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8000  3.49602709e-01  4.32909478e-05   1.20714277e-03   1.20714277e-04   6.03571386e-06   7.63827839e-03   7.63827839e-04   3.81914150e-05  -1.70002901e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8100  3.53931618e-01  4.32882909e-05   1.21740686e-03   1.21740686e-04   6.08703428e-06   7.65541024e-03   7.65541024e-04   3.82770747e-05   4.16333634e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8200  3.58260573e-01  4.32917804e-05   1.22755322e-03   1.22755322e-04   6.13776613e-06   7.66924284e-03   7.66924284e-04   3.83462376e-05  -2.13370988e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8300  3.62590186e-01  4.33014203e-05   1.23758816e-03   1.23758816e-04   6.18794084e-06   7.67974247e-03   7.67974247e-04   3.83987362e-05  -4.85722573e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8400  3.66921075e-01  4.33172159e-05   1.24751823e-03   1.24751823e-04   6.23759123e-06   7.68687466e-03   7.68687466e-04   3.84343981e-05  -1.80411242e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8500  3.71253854e-01  4.33391744e-05   1.25735023e-03   1.25735023e-04   6.28675114e-06   7.69060420e-03   7.69060419e-04   3.84530453e-05  -5.44703171e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8600  3.75589140e-01  4.33673046e-05   1.26709119e-03   1.26709119e-04   6.33545598e-06   7.77191359e-03   7.77191359e-04   3.88595431e-05   2.25514052e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8700  3.79927552e-01  4.34016169e-05   1.27674840e-03   1.27674840e-04   6.38374207e-06   7.89708928e-03   7.89708927e-04   3.94854228e-05   1.35308431e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8800  3.84269707e-01  4.34421236e-05   1.28632937e-03   1.28632937e-04   6.43164681e-06   8.02094724e-03   8.02094724e-04   4.01047106e-05  -4.33680869e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     8900  3.88616227e-01  4.34888384e-05   1.29584185e-03   1.29584185e-04   6.47920925e-06   8.14340302e-03   8.14340302e-04   4.07169889e-05  -4.30211422e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9000  3.92967732e-01  4.35417769e-05   1.30529383e-03   1.30529383e-04   6.52646914e-06   8.26437047e-03   8.26437047e-04   4.13218276e-05   5.49907342e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9100  3.97324847e-01  4.36009561e-05   1.31469351e-03   1.31469351e-04   6.57346755e-06   8.38376165e-03   8.38376165e-04   4.19187822e-05  -2.18575158e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9200  4.01688195e-01  4.36663949e-05   1.32404935e-03   1.32404935e-04   6.62024672e-06   8.50148678e-03   8.50148678e-04   4.25074067e-05  -1.04083409e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9300  4.06058404e-01  4.37381139e-05   1.33336998e-03   1.33336998e-04   6.66684988e-06   8.61745407e-03   8.61745407e-04   4.30872440e-05  -1.02348685e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9400  4.10436102e-01  4.38161352e-05   1.34266427e-03   1.34266427e-04   6.71332134e-06   8.73156969e-03   8.73156969e-04   4.36578218e-05  -5.20417043e-18   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9500  4.14821923e-01  4.39004826e-05   1.35194130e-03   1.35194130e-04   6.75970641e-06   8.84373765e-03   8.84373764e-04   4.42186596e-05   9.02056208e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9600  4.19216498e-01  4.39911817e-05   1.36121032e-03   1.36121032e-04   6.80605156e-06   8.95385967e-03   8.95385967e-04   4.47692710e-05  -9.36750677e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9700  4.23620465e-01  4.40882597e-05   1.37048079e-03   1.37048079e-04   6.85240396e-06   9.06183514e-03   9.06183514e-04   4.53091489e-05  -1.63064007e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9800  4.28034464e-01  4.41917455e-05   1.37976234e-03   1.37976234e-04   6.89881165e-06   9.16756096e-03   9.16756096e-04   4.58377768e-05  -1.90819582e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
     9900  4.32459136e-01  4.43016696e-05   1.38906475e-03   1.38906475e-04   6.94532377e-06   9.27093146e-03   9.27093146e-04   4.63546301e-05   2.28983499e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10000  4.36895127e-01  4.44180642e-05   1.39839799e-03   1.39839799e-04   6.99198996e-06   9.37183831e-03   9.37183831e-04   4.68591638e-05   3.81639165e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10100  4.41343085e-01  4.45409633e-05   1.40777213e-03   1.40777213e-04   7.03886060e-06   9.47017038e-03   9.47017038e-04   4.73508230e-05   1.31838984e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10200  4.45803664e-01  4.46704024e-05   1.41719739e-03   1.41719739e-04   7.08598691e-06   9.56581367e-03   9.56581367e-04   4.78290392e-05  -6.93889390e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10300  4.50277518e-01  4.48064189e-05   1.42668410e-03   1.42668410e-04   7.13342046e-06   9.65865121e-03   9.65865121e-04   4.82932267e-05  -1.97758476e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10400  4.54765307e-01  4.49490515e-05   1.43624267e-03   1.43624267e-04   7.18121332e-06   9.74856289e-03   9.74856289e-04   4.87427842e-05  -1.52655666e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10500  4.59267696e-01  4.50983409e-05   1.44588362e-03   1.44588362e-04   7.22941808e-06   9.83542543e-03   9.83542543e-04   4.91770974e-05  -7.63278329e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10600  4.63785351e-01  4.52543294e-05   1.45561749e-03   1.45561749e-04   7.27808744e-06   9.91911223e-03   9.91911223e-04   4.95955311e-05  -7.63278329e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10700  4.68318946e-01  4.54170610e-05   1.46545489e-03   1.46545489e-04   7.32727445e-06   9.99949327e-03   9.99949327e-04   4.99974353e-05  -7.63278329e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10800  4.72869156e-01  4.55865811e-05   1.47540643e-03   1.47540643e-04   7.37703216e-06   1.00764350e-02   1.00764350e-03   5.03821438e-05   6.93889390e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    10900  4.77436663e-01  4.57629371e-05   1.48548274e-03   1.48548274e-04   7.42741359e-06   1.01498003e-02   1.01498003e-03   5.07489693e-05  -3.12250226e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    11000  4.82022153e-01  4.59461778e-05   1.49569440e-03   1.49569440e-04   7.47847196e-06   1.02194482e-02   1.02194482e-03   5.10972087e-05   4.85722573e-17   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    11100  4.86626316e-01  4.61363540e-05   1.50605198e-03   1.50605198e-04   7.53025994e-06   1.02852339e-02   1.02852339e-03   5.14261381e-05   1.45716772e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
    11200  4.91249850e-01  4.63335177e-05   1.51656594e-03   1.51656594e-04   7.58282970e-06   1.03470089e-02   1.03470089e-03   5.17350130e-05   2.84494650e-16   5.00000000e-03   5.00050000e+01  -6.47659006e+00   2.00000000e+01
