#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
    83200  3.95219626e+00  4.77742558e-05   5.32356246e-03   5.32356246e-04   7.33123245e-13   2.25477518e-02   2.25477518e-03   8.75188810e-13   1.56125113e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83300  3.95698022e+00  4.79050826e-05   5.32752897e-03   5.32752897e-04   7.36151995e-13   2.27647888e-02   2.27647888e-03   8.72857342e-13   9.45424294e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83400  3.96177770e+00  4.80444582e-05   5.33130734e-03   5.33130734e-04   7.38293422e-13   2.29721101e-02   2.29721101e-03   8.59090576e-13   2.16840434e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83500  3.96658955e+00  4.81925496e-05   5.33489969e-03   5.33489969e-04   7.40495295e-13   2.31694686e-02   2.31694687e-03   8.62421246e-13   4.33680869e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83600  3.97141666e+00  4.83495275e-05   5.33830893e-03   5.33830893e-04   7.43328707e-13   2.33566151e-02   2.33566151e-03   8.70747918e-13   8.67361738e-19   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83700  3.97625992e+00  4.85155669e-05   5.34153871e-03   5.34153871e-04   7.45056460e-13   2.35332976e-02   2.35332976e-03   8.54760707e-13  -1.69135539e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83800  3.98112025e+00  4.86908468e-05   5.34459347e-03   5.34459347e-04   7.48244637e-13   2.36992617e-02   2.36992617e-03   8.55870930e-13   2.51534904e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    83900  3.98599858e+00  4.88755507e-05   5.34747843e-03   5.34747843e-04   7.50345916e-13   2.38542498e-02   2.38542499e-03   8.53983551e-13   1.38777878e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84000  3.99089587e+00  4.90698662e-05   5.35019964e-03   5.35019964e-04   7.52363733e-13   2.39980018e-02   2.39980018e-03   8.47877324e-13   9.88792381e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84100  3.99581308e+00  4.92739857e-05   5.35276397e-03   5.35276397e-04   7.54462842e-13   2.41302540e-02   2.41302540e-03   8.72191208e-13  -8.67361738e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84200  4.00075038e+00  4.94114314e-05   5.35517875e-03   5.35517875e-04   7.58231933e-13   2.42507203e-02   2.42507204e-03   8.55537863e-13   1.19695920e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84300  4.00568398e+00  4.92629808e-05   5.35744161e-03   5.35744161e-04   7.60835025e-13   2.43586267e-02   2.43586267e-03   8.48765502e-13   4.25007252e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84400  4.01060301e+00  4.91200805e-05   5.35955914e-03   5.35955914e-04   7.63091931e-13   2.44536826e-02   2.44536826e-03   8.72524275e-13   6.59194921e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84500  4.01550804e+00  4.89827159e-05   5.36154409e-03   5.36154409e-04   7.65261962e-13   2.45358976e-02   2.45358976e-03   8.80517881e-13  -7.54604712e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84600  4.02039960e+00  4.88508736e-05   5.36340957e-03   5.36340957e-04   7.68065321e-13   2.46052870e-02   2.46052870e-03   8.69859740e-13  -4.16333634e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84700  4.02527827e+00  4.87245422e-05   5.36516902e-03   5.36516902e-04   7.71399622e-13   2.46618726e-02   2.46618726e-03   8.69193606e-13  -3.98986399e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84800  4.03014457e+00  4.86037119e-05   5.36683617e-03   5.36683617e-04   7.73691656e-13   2.47056814e-02   2.47056814e-03   9.04054609e-13   9.19403442e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    84900  4.03499907e+00  4.84883743e-05   5.36842496e-03   5.36842496e-04   7.75932763e-13   2.47367461e-02   2.47367461e-03   9.53792600e-13  -6.07153217e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85000  4.03984232e+00  4.83785230e-05   5.36994956e-03   5.36994956e-04   7.79365515e-13   2.47551046e-02   2.47551046e-03   9.43134459e-13   6.67868538e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85100  4.04467485e+00  4.82741530e-05   5.37142428e-03   5.37142428e-04   7.82037064e-13   2.47607995e-02   2.47607995e-03   9.21929200e-13   1.73472348e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85200  4.04949723e+00  4.81752611e-05   5.37286356e-03   5.37286356e-04   7.85688903e-13   2.47538784e-02   2.47538784e-03   9.04387676e-13   2.86229374e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85300  4.05430999e+00  4.80818456e-05   5.37428192e-03   5.37428192e-04   7.88903072e-13   2.47343933e-02   2.47343933e-03   9.32476318e-13   8.32667268e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85400  4.05911369e+00  4.79939064e-05   5.37569393e-03   5.37569393e-04   7.89629099e-13   2.47024004e-02   2.47024004e-03   9.31699162e-13  -3.29597460e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85500  4.06390887e+00  4.79114452e-05   5.37711417e-03   5.37711417e-04   7.92037984e-13   2.46579603e-02   2.46579603e-03   9.60453939e-13  -5.81132364e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85600  4.06869608e+00  4.78344652e-05   5.37855721e-03   5.37855721e-04   7.94219188e-13   2.46011372e-02   2.46011372e-03   9.64672786e-13  -1.65666092e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85700  4.07347587e+00  4.77629712e-05   5.38003755e-03   5.38003755e-04   7.98031120e-13   2.45319995e-02   2.45319995e-03   9.55013846e-13  -5.20417043e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85800  4.07824879e+00  4.76969698e-05   5.38156961e-03   5.38156961e-04   7.99768165e-13   2.44506189e-02   2.44506189e-03   9.68114477e-13  -5.46437895e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    85900  4.08301539e+00  4.76364690e-05   5.38316768e-03   5.38316768e-04   8.01153178e-13   2.43570706e-02   2.43570706e-03   9.97868455e-13   4.25007252e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86000  4.08777621e+00  4.75814786e-05   5.38484593e-03   5.38484593e-04   8.04135557e-13   2.42514333e-02   2.42514334e-03   9.84434756e-13  -5.46437895e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86100  4.09253181e+00  4.75320100e-05   5.38661831e-03   5.38661831e-04   8.07214189e-13   2.41337889e-02   2.41337889e-03   9.39470723e-13  -1.13624388e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86200  4.09728275e+00  4.74880763e-05   5.38849858e-03   5.38849858e-04   8.09640411e-13   2.40042223e-02   2.40042223e-03   9.33364497e-13  -9.62771529e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86300  4.10202957e+00  4.74496921e-05   5.39050028e-03   5.39050028e-04   8.11194483e-13   2.38628215e-02   2.38628215e-03   9.23039423e-13  -2.77555756e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86400  4.10677284e+00  4.74168739e-05   5.39263666e-03   5.39263666e-04   8.13016161e-13   2.37096772e-02   2.37096773e-03   9.72999459e-13   2.42861287e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86500  4.11151310e+00  4.73896396e-05   5.39492069e-03   5.39492069e-04   8.14909497e-13   2.35448833e-02   2.35448833e-03   9.94426763e-13  -4.07660017e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86600  4.11625093e+00  4.73680091e-05   5.39736504e-03   5.39736504e-04   8.16480858e-13   2.33685361e-02   2.33685361e-03   9.57012247e-13  -7.45931095e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86700  4.12098688e+00  4.73520037e-05   5.39998203e-03   5.39998203e-04   8.19440865e-13   2.31807347e-02   2.31807347e-03   9.29811783e-13   4.59701721e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86800  4.12572151e+00  4.73416465e-05   5.40278362e-03   5.40278362e-04   8.21644574e-13   2.29815809e-02   2.29815809e-03   9.41691169e-13   3.20923843e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    86900  4.13045539e+00  4.73369625e-05   5.40578138e-03   5.40578138e-04   8.24763532e-13   2.27711789e-02   2.27711790e-03   9.50239887e-13  -7.11236625e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87000  4.13518909e+00  4.73379781e-05   5.40898651e-03   5.40898651e-04   8.29406335e-13   2.25496358e-02   2.25496358e-03   9.46576151e-13  -8.32667268e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87100  4.13992318e+00  4.73447217e-05   5.41240976e-03   5.41240976e-04   8.33160389e-13   2.23170608e-02   2.23170608e-03   9.65449942e-13   1.04083409e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87200  4.14465823e+00  4.73572233e-05   5.41606145e-03   5.41606145e-04   8.35048170e-13   2.20735657e-02   2.20735658e-03   9.78994663e-13  -4.51028104e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87300  4.14939483e+00  4.73755148e-05   5.41995144e-03   5.41995144e-04   8.38089855e-13   2.18192651e-02   2.18192652e-03   9.96314142e-13  -1.03216047e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87400  4.15413355e+00  4.73996298e-05   5.42408911e-03   5.42408911e-04   8.39461135e-13   2.15542758e-02   2.15542758e-03   1.02240438e-12   7.02563008e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87500  4.15887498e+00  4.74296037e-05   5.42848337e-03   5.42848337e-04   8.40883223e-13   2.12787171e-02   2.12787171e-03   9.91651206e-13   2.25514052e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87600  4.16361970e+00  4.74654739e-05   5.43314261e-03   5.43314261e-04   8.43479149e-13   2.09927110e-02   2.09927110e-03   9.89430760e-13   3.46944695e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87700  4.16836831e+00  4.75072793e-05   5.43807471e-03   5.43807471e-04   8.45960621e-13   2.06963818e-02   2.06963818e-03   9.77662395e-13   8.50014503e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87800  4.17312140e+00  4.75550610e-05   5.44328702e-03   5.44328702e-04   8.49604704e-13   2.03898567e-02   2.03898567e-03   9.78550574e-13  -1.76074433e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    87900  4.17787957e+00  4.76088617e-05   5.44878634e-03   5.44878634e-04   8.52787636e-13   2.00732652e-02   2.00732652e-03   9.80437953e-13  -1.11022302e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88000  4.18264343e+00  4.76687262e-05   5.45457896e-03   5.45457896e-04   8.56199914e-13   1.97467398e-02   1.97467398e-03   9.83657600e-13   0.00000000e+00   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88100  4.18741359e+00  4.77347010e-05   5.46067056e-03   5.46067056e-04   8.58279107e-13   1.94104154e-02   1.94104154e-03   1.00497388e-12   1.73472348e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88200  4.19219065e+00  4.78068348e-05   5.46706629e-03   5.46706629e-04   8.62837935e-13   1.90644301e-02   1.90644301e-03   1.02118314e-12  -1.73472348e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88300  4.19697523e+00  4.78851781e-05   5.47377071e-03   5.47377071e-04   8.66325585e-13   1.87089246e-02   1.87089246e-03   1.01008091e-12  -1.47451495e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88400  4.20176797e+00  4.79697832e-05   5.48078781e-03   5.48078781e-04   8.69300607e-13   1.83440427e-02   1.83440427e-03   1.01818554e-12  -2.25514052e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88500  4.20656949e+00  4.80607048e-05   5.48812100e-03   5.48812100e-04   8.70188733e-13   1.79699312e-02   1.79699313e-03   1.01763042e-12   3.46944695e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88600  4.21138042e+00  4.81579992e-05   5.49577311e-03   5.49577311e-04   8.72518741e-13   1.75867403e-02   1.75867403e-03   1.02784448e-12  -8.15320034e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88700  4.21620140e+00  4.82617251e-05   5.50374635e-03   5.50374635e-04   8.75143363e-13   1.71946232e-02   1.71946232e-03   1.01507691e-12   4.68375339e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88800  4.22103309e+00  4.83719429e-05   5.51204238e-03   5.51204238e-04   8.77592036e-13   1.67937367e-02   1.67937368e-03   9.98423566e-13   1.17961196e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    88900  4.22587612e+00  4.84887154e-05   5.52066224e-03   5.52066224e-04   8.79259651e-13   1.63842411e-02   1.63842411e-03   1.00108810e-12   1.56125113e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89000  4.23073117e+00  4.86121073e-05   5.52960640e-03   5.52960640e-04   8.82435352e-13   1.59663003e-02   1.59663003e-03   1.00441877e-12   7.11236625e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89100  4.23559890e+00  4.87421855e-05   5.53887472e-03   5.53887472e-04   8.85217585e-13   1.55400821e-02   1.55400821e-03   1.01596509e-12  -7.63278329e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89200  4.24047997e+00  4.88790190e-05   5.54846650e-03   5.54846650e-04   8.87477803e-13   1.55997911e-02   1.55997911e-03   9.99089700e-13  -2.60208521e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89300  4.24537507e+00  4.90226790e-05   5.55838043e-03   5.55838043e-04   8.88719570e-13   1.60468385e-02   1.60468385e-03   1.01785247e-12   6.59194921e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89400  4.25028488e+00  4.91732388e-05   5.56861463e-03   5.56861463e-04   8.91703272e-13   1.64899235e-02   1.64899235e-03   1.00741637e-12  -1.45716772e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89500  4.25521010e+00  4.93307742e-05   5.57916666e-03   5.57916666e-04   8.94772076e-13   1.69287285e-02   1.69287286e-03   1.02540199e-12  -6.07153217e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89600  4.26015143e+00  4.94953627e-05   5.59003348e-03   5.59003348e-04   8.96431834e-13   1.73629296e-02   1.73629297e-03   1.04993791e-12   1.01481323e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89700  4.26510958e+00  4.96670846e-05   5.60121151e-03   5.60121151e-04   8.97699397e-13   1.77921958e-02   1.77921958e-03   1.05160325e-12  -9.88792381e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89800  4.27008526e+00  4.98460220e-05   5.61269659e-03   5.61269659e-04   9.00519765e-13   1.82161887e-02   1.82161887e-03   1.03739239e-12   1.04083409e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    89900  4.27507921e+00  5.00322597e-05   5.62448405e-03   5.62448405e-04   9.02018225e-13   1.86345631e-02   1.86345631e-03   1.02073905e-12  -1.28369537e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90000  4.28009215e+00  5.02258844e-05   5.63656862e-03   5.63656862e-04   9.06458071e-13   1.90469659e-02   1.90469659e-03   1.02662323e-12  -8.93382590e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90100  4.28512483e+00  5.04269855e-05   5.64894455e-03   5.64894455e-04   9.09820204e-13   1.94530367e-02   1.94530368e-03   1.04305453e-12  -4.51028104e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90200  4.29017801e+00  5.06356544e-05   5.66160554e-03   5.66160554e-04   9.12835199e-13   1.98524073e-02   1.98524073e-03   1.01796349e-12  -9.71445147e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90300  4.29525243e+00  5.08519851e-05   5.67454476e-03   5.67454477e-04   9.15559211e-13   2.02447013e-02   2.02447013e-03   1.01385567e-12   2.08166817e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90400  4.30034888e+00  5.10760737e-05   5.68775491e-03   5.68775491e-04   9.19372097e-13   2.06295346e-02   2.06295347e-03   1.01874065e-12   3.29597460e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90500  4.30546814e+00  5.13080190e-05   5.70122817e-03   5.70122817e-04   9.20745640e-13   2.10065148e-02   2.10065148e-03   1.04449782e-12  -9.54097912e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90600  4.31061099e+00  5.15479218e-05   5.71495623e-03   5.71495623e-04   9.23358927e-13   2.13752411e-02   2.13752411e-03   1.03006492e-12   8.32667268e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90700  4.31577823e+00  5.17958857e-05   5.72893033e-03   5.72893033e-04   9.26117524e-13   2.17353044e-02   2.17353044e-03   1.04538600e-12   9.71445147e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90800  4.32097069e+00  5.20520164e-05   5.74314121e-03   5.74314121e-04   9.29897708e-13   2.20862873e-02   2.20862873e-03   1.04760645e-12   1.04950770e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    90900  4.32618917e+00  5.23164220e-05   5.75757920e-03   5.75757921e-04   9.33012200e-13   2.24277636e-02   2.24277636e-03   1.04760645e-12   1.33573708e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91000  4.33143452e+00  5.25892132e-05   5.77223417e-03   5.77223417e-04   9.37092345e-13   2.27592986e-02   2.27592987e-03   1.06992193e-12  -2.42861287e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91100  4.33670758e+00  5.28705030e-05   5.78709554e-03   5.78709554e-04   9.39380798e-13   2.30804493e-02   2.30804493e-03   1.09556808e-12  -2.77555756e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91200  4.34200919e+00  5.31604066e-05   5.80215235e-03   5.80215235e-04   9.42810086e-13   2.33907636e-02   2.33907636e-03   1.05593312e-12  -2.08166817e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91300  4.34734024e+00  5.34590420e-05   5.81739320e-03   5.81739320e-04   9.45922772e-13   2.36897813e-02   2.36897813e-03   1.05571107e-12  -6.93889390e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91400  4.35270160e+00  5.37665293e-05   5.83280633e-03   5.83280633e-04   9.48166155e-13   2.39770334e-02   2.39770334e-03   1.07336362e-12  -1.38777878e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91500  4.35809416e+00  5.40829908e-05   5.84837956e-03   5.84837957e-04   9.51275260e-13   2.42520427e-02   2.42520427e-03   1.08524301e-12  -2.08166817e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91600  4.36351882e+00  5.44085516e-05   5.86410039e-03   5.86410039e-04   9.54973781e-13   2.45143236e-02   2.45143237e-03   1.07991394e-12   3.20923843e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91700  4.36897651e+00  5.47433389e-05   5.87995591e-03   5.87995591e-04   9.58266190e-13   2.47633826e-02   2.47633826e-03   1.08646425e-12   1.56125113e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91800  4.37446814e+00  5.50874819e-05   5.89593291e-03   5.89593291e-04   9.61327385e-13   2.49987180e-02   2.49987180e-03   1.09590115e-12   8.41340886e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    91900  4.37999467e+00  5.54411127e-05   5.91201783e-03   5.91201783e-04   9.64188290e-13   2.52198207e-02   2.52198208e-03   1.10222942e-12  -4.51028104e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92000  4.38555704e+00  5.58043650e-05   5.92819678e-03   5.92819678e-04   9.67877453e-13   2.54261743e-02   2.54261744e-03   1.09090514e-12  -2.60208521e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92100  4.39112355e+00  5.54907980e-05   5.94436079e-03   5.94436079e-04   9.71649005e-13   2.56161888e-02   2.56161889e-03   1.10966791e-12  -2.52402266e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92200  4.39665501e+00  5.51431863e-05   5.96038019e-03   5.96038019e-04   9.74746491e-13   2.57884430e-02   2.57884431e-03   1.12454490e-12   3.46944695e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92300  4.40215210e+00  5.48032737e-05   5.97624223e-03   5.97624223e-04   9.77214197e-13   2.59430670e-02   2.59430671e-03   1.15318866e-12  -3.46944695e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92400  4.40761558e+00  5.44709776e-05   5.99193535e-03   5.99193535e-04   9.78893502e-13   2.60802061e-02   2.60802061e-03   1.17261756e-12   4.16333634e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92500  4.41304622e+00  5.41462180e-05   6.00744887e-03   6.00744887e-04   9.82218107e-13   2.62000165e-02   2.62000165e-03   1.17361676e-12   3.55618313e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92600  4.41844476e+00  5.38289167e-05   6.02277292e-03   6.02277292e-04   9.84769598e-13   2.63026643e-02   2.63026643e-03   1.14264154e-12   2.25514052e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92700  4.42381194e+00  5.35189975e-05   6.03789847e-03   6.03789847e-04   9.88083176e-13   2.63883254e-02   2.63883254e-03   1.11566312e-12   1.28369537e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92800  4.42914849e+00  5.32163864e-05   6.05281725e-03   6.05281725e-04   9.91278460e-13   2.64571840e-02   2.64571840e-03   1.12621024e-12   6.33174069e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    92900  4.43445515e+00  5.29210113e-05   6.06752173e-03   6.06752173e-04   9.94032054e-13   2.65094325e-02   2.65094326e-03   1.10667031e-12  -6.93889390e-18   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93000  4.43973264e+00  5.26328021e-05   6.08200510e-03   6.08200510e-04   9.97225053e-13   2.65452709e-02   2.65452709e-03   1.12587717e-12  -9.54097912e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93100  4.44498167e+00  5.23516908e-05   6.09626124e-03   6.09626124e-04   1.00002732e-12   2.65649056e-02   2.65649056e-03   1.11399778e-12   2.94902991e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93200  4.45020294e+00  5.20776112e-05   6.11028468e-03   6.11028468e-04   1.00281690e-12   2.65685495e-02   2.65685495e-03   1.10567111e-12   4.68375339e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93300  4.45539715e+00  5.18104991e-05   6.12407056e-03   6.12407056e-04   1.00454444e-12   2.65564212e-02   2.65564213e-03   1.12077014e-12   1.53523028e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93400  4.46056500e+00  5.15502922e-05   6.13761462e-03   6.13761462e-04   1.00755801e-12   2.65287445e-02   2.65287445e-03   1.17594823e-12   1.45716772e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93500  4.46570718e+00  5.12969302e-05   6.15091318e-03   6.15091318e-04   1.01014812e-12   2.64857476e-02   2.64857477e-03   1.17528209e-12  -1.70002901e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93600  4.47082437e+00  5.10503545e-05   6.16396308e-03   6.16396308e-04   1.01262982e-12   2.64276634e-02   2.64276634e-03   1.11766152e-12  -9.19403442e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93700  4.47591723e+00  5.08105084e-05   6.17676169e-03   6.17676169e-04   1.01515552e-12   2.63547283e-02   2.63547283e-03   1.11766152e-12   2.42861287e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93800  4.48098645e+00  5.05773372e-05   6.18930686e-03   6.18930686e-04   1.01818481e-12   2.62671820e-02   2.62671821e-03   1.13598020e-12  -1.10154941e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    93900  4.48603269e+00  5.03507879e-05   6.20159690e-03   6.20159690e-04   1.02280806e-12   2.61652676e-02   2.61652677e-03   1.17139631e-12   1.73472348e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    94000  4.49105661e+00  5.01308093e-05   6.21363057e-03   6.21363057e-04   1.02528787e-12   2.60492306e-02   2.60492306e-03   1.15729648e-12   8.06646416e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    94100  4.49605885e+00  4.99173522e-05   6.22540706e-03   6.22540706e-04   1.02883244e-12   2.59193187e-02   2.59193187e-03   1.14097620e-12  -1.86482774e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    94200  4.50104008e+00  4.97103688e-05   6.23692594e-03   6.23692594e-04   1.03349684e-12   2.57757820e-02   2.57757820e-03   1.14352972e-12   9.80118764e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    94300  4.50600094e+00  4.95098135e-05   6.24818718e-03   6.24818718e-04   1.03712494e-12   2.56188719e-02   2.56188719e-03   1.15074617e-12   7.80625564e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
    94400  4.51094206e+00  4.93156421e-05   6.25919110e-03   6.25919110e-04   1.03883523e-12   2.54488415e-02   2.54488416e-03   1.16229248e-12  -1.59594560e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
