#timestep  time            dt               l2_rho           l2_rho_v1        l2_rho_theta     linf_rho         linf_rho_v1      linf_rho_theta   dsdu_ut          energy_kinetic   entropy          entropy_phys     pressurecompute
     2200  9.15540447e-02  4.21947831e-05   3.67059294e-04   3.67059294e-05   6.93575955e-16   2.45333069e-03   2.45333069e-04   5.10702591e-15  -6.07153217e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2300  9.57792141e-02  4.23088288e-05   3.82927220e-04   3.82927220e-05   6.15858166e-16   2.57170855e-03   2.57170855e-04   3.55271368e-15  -1.80411242e-16   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2400  1.00016203e-01  4.24310915e-05   3.98851189e-04   3.98851189e-05   3.33296341e-16   2.69042763e-03   2.69042763e-04   1.66533454e-15  -7.37257477e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2500  1.04265835e-01  4.25616486e-05   4.14827938e-04   4.14827938e-05   4.84819607e-16   2.80945261e-03   2.80945261e-04   2.22044605e-15  -3.98986399e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2600  1.08528946e-01  4.27005806e-05   4.30854647e-04   4.30854647e-05   4.81024924e-16   2.92874721e-03   2.92874721e-04   2.44249065e-15  -6.67868538e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2700  1.12806377e-01  4.28479715e-05   4.46928832e-04   4.46928832e-05   5.72490454e-16   3.04827397e-03   3.04827397e-04   3.55271368e-15   5.46437895e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2800  1.17098977e-01  4.30039081e-05   4.63048255e-04   4.63048255e-05   6.50898399e-16   3.16799425e-03   3.16799425e-04   4.99600361e-15   1.64798730e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     2900  1.21407606e-01  4.31684808e-05   4.79210853e-04   4.79210853e-05   6.66877299e-16   3.28786801e-03   3.28786801e-04   4.99600361e-15  -2.16840434e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3000  1.25733133e-01  4.33417831e-05   4.95414678e-04   4.95414678e-05   5.04406855e-16   3.40785378e-03   3.40785378e-04   2.66453526e-15   2.34187669e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3100  1.30076435e-01  4.35239118e-05   5.11657846e-04   5.11657846e-05   5.28716220e-16   3.52790850e-03   3.52790850e-04   1.99840144e-15  -3.55618313e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3200  1.34438400e-01  4.37149670e-05   5.27938496e-04   5.27938496e-05   5.86441960e-16   3.64798739e-03   3.64798739e-04   2.66453526e-15   3.46944695e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3300  1.38819925e-01  4.39150521e-05   5.44254754e-04   5.44254754e-05   5.76383086e-16   3.76804383e-03   3.76804383e-04   2.55351296e-15  -1.38777878e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
     3400  1.43221919e-01  4.41242740e-05   5.60604700e-04   5.60604700e-05   5.66334380e-16   3.88802922e-03   3.88802922e-04   2.55351296e-15   9.62771529e-17   5.00000000e-03   4.99701568e+01  -6.47187512e+00   2.00000000e+01
